M,rms_err,M_inv_sqrt
125,0.03670774752166081,0.08944271909999159
250,0.031038468405843272,0.06324555320336758
500,0.019074378917045224,0.044721359549995794
1000,0.015941485703377896,0.03162277660168379
2000,0.012764432291322172,0.022360679774997897
4000,0.007986365998689333,0.015811388300841896
8000,0.0044158099205538395,0.011180339887498949
