t,n_exc
0,0.95
0.1,0.903098
0.2,0.860647
0.3,0.821486
0.4,0.784847
0.5,0.748668
0.6,0.712947
0.7,0.679083
0.8,0.6461
0.9,0.615411
1,0.585472
1.1,0.557549
1.2,0.531249
1.3,0.507718
1.4,0.486203
1.5,0.466809
1.6,0.450268
1.7,0.435144
1.8,0.422104
1.9,0.410286
2,0.399874
2.1,0.390367
2.2,0.381772
2.3,0.374683
2.4,0.367954
2.5,0.36227
2.6,0.357005
2.7,0.352351
2.8,0.348122
2.9,0.343491
3,0.339768
3.1,0.336083
3.2,0.332621
3.3,0.330221
3.4,0.327644
3.5,0.325559
3.6,0.323265
3.7,0.321649
3.8,0.32028
3.9,0.318494
4,0.317035
4.1,0.314878
4.2,0.313636
4.3,0.312424
4.4,0.310452
4.5,0.308978
4.6,0.307919
4.7,0.307121
4.8,0.306181
4.9,0.305729
5,0.305239
5.1,0.3048
5.2,0.304502
5.3,0.303838
5.4,0.302952
5.5,0.301959
5.6,0.301303
5.7,0.301122
5.8,0.30053
5.9,0.301117
6,0.300838
6.1,0.300523
6.2,0.299624
6.3,0.298921
6.4,0.298856
6.5,0.298504
6.6,0.297793
6.7,0.297027
6.8,0.29738
6.9,0.297034
7,0.297075
7.1,0.29703
7.2,0.296582
7.3,0.296901
7.4,0.296384
7.5,0.295542
7.6,0.295825
7.7,0.295511
7.8,0.294446
7.9,0.294327
8,0.293902
