t,n_exc
0,0.55
0.1,0.528465
0.2,0.508782
0.3,0.489932
0.4,0.472669
0.5,0.455479
0.6,0.438853
0.7,0.423379
0.8,0.40932
0.9,0.396655
1,0.385489
1.1,0.375577
1.2,0.366915
1.3,0.359273
1.4,0.35292
1.5,0.346505
1.6,0.340808
1.7,0.336034
1.8,0.331663
1.9,0.328049
2,0.324515
2.1,0.321671
2.2,0.319316
2.3,0.317246
2.4,0.315684
2.5,0.314489
2.6,0.313074
2.7,0.311932
2.8,0.310743
2.9,0.310002
3,0.309058
3.1,0.307904
3.2,0.307239
3.3,0.306465
3.4,0.305764
3.5,0.304688
3.6,0.30368
3.7,0.30275
3.8,0.302179
3.9,0.302036
4,0.300962
4.1,0.300225
4.2,0.299591
4.3,0.298751
4.4,0.298195
4.5,0.297708
4.6,0.297565
4.7,0.297476
4.8,0.296959
4.9,0.296911
5,0.297082
5.1,0.296745
5.2,0.296874
5.3,0.296836
5.4,0.296504
5.5,0.296536
5.6,0.295864
5.7,0.295538
5.8,0.295281
5.9,0.294817
6,0.294679
6.1,0.294659
6.2,0.294847
6.3,0.29436
6.4,0.294168
6.5,0.293523
6.6,0.29385
6.7,0.293522
6.8,0.293405
6.9,0.293548
7,0.294098
7.1,0.293597
7.2,0.294187
7.3,0.294308
7.4,0.294278
7.5,0.293958
7.6,0.293602
7.7,0.293288
7.8,0.293563
7.9,0.292598
8,0.292597
