t,n_exc
0,0.5
0.3,0.44554
0.6,0.395066
0.9,0.356877
1.2,0.336841
1.5,0.325468
1.8,0.316168
2.1,0.310613
2.4,0.30559
2.7,0.303901
3,0.302253
3.3,0.303642
3.6,0.300394
3.9,0.296731
4.2,0.295126
4.5,0.296916
4.8,0.29594
5.1,0.292908
5.4,0.289507
5.7,0.289545
6,0.289481
