t,n_exc
0,0.1
0.2,0.110784
0.4,0.116734
0.6,0.123769
0.8,0.136107
1,0.151517
1.2,0.168411
1.4,0.184963
1.6,0.198798
1.8,0.210038
2,0.221383
2.2,0.232921
2.4,0.243687
2.6,0.254079
2.8,0.261925
3,0.266803
3.2,0.270842
3.4,0.273637
3.6,0.275191
3.8,0.276777
4,0.279235
4.2,0.281101
4.4,0.283238
4.6,0.284641
4.8,0.287532
5,0.290018
5.2,0.291228
5.4,0.29262
5.6,0.293651
5.8,0.294321
6,0.294035
