t,n_exc
0,0.9
0.2,0.813694
0.4,0.742755
0.6,0.679735
0.8,0.620861
1,0.564907
1.2,0.517507
1.4,0.477556
1.6,0.443665
1.8,0.418874
2,0.398155
2.2,0.381394
2.4,0.366379
2.6,0.356655
2.8,0.347944
3,0.342162
3.2,0.335338
3.4,0.329941
3.6,0.324808
3.8,0.320104
4,0.317057
4.2,0.313265
4.4,0.310493
4.6,0.309277
4.8,0.309096
5,0.307655
5.2,0.306707
5.4,0.305017
5.6,0.305033
5.8,0.304557
6,0.304164
