t,n_exc
0,0.05
0.1,0.0586843
0.2,0.0643128
0.3,0.0692883
0.4,0.073833
0.5,0.0796027
0.6,0.0865215
0.7,0.0949813
0.8,0.104195
0.9,0.114293
1,0.12486
1.1,0.135321
1.2,0.146206
1.3,0.156655
1.4,0.165812
1.5,0.174467
1.6,0.181957
1.7,0.188359
1.8,0.194392
1.9,0.200456
2,0.205066
2.1,0.209798
2.2,0.21408
2.3,0.219169
2.4,0.223438
2.5,0.22749
2.6,0.23127
2.7,0.235073
2.8,0.238913
2.9,0.242492
3,0.24538
3.1,0.248161
3.2,0.251552
3.3,0.25461
3.4,0.257206
3.5,0.259137
3.6,0.260963
3.7,0.263147
3.8,0.26547
3.9,0.266923
4,0.268506
4.1,0.269363
4.2,0.270941
4.3,0.272535
4.4,0.274283
4.5,0.27592
4.6,0.276672
4.7,0.278361
4.8,0.279452
4.9,0.279633
5,0.280648
5.1,0.281555
5.2,0.281918
5.3,0.282694
5.4,0.282795
5.5,0.283221
5.6,0.283321
5.7,0.283988
5.8,0.28404
5.9,0.284556
6,0.284653
6.1,0.285017
6.2,0.286134
6.3,0.286586
6.4,0.287238
6.5,0.287666
6.6,0.287777
6.7,0.287537
6.8,0.288031
6.9,0.288365
7,0.289081
7.1,0.288974
7.2,0.289469
7.3,0.289681
7.4,0.289987
7.5,0.290163
7.6,0.290368
7.7,0.290024
7.8,0.290303
7.9,0.290275
8,0.290173
