t,D_far_plus,D_near_0
0.0,0.9872787597304443,0.838695821464864
0.12,0.8806682442738417,0.7472911626328063
0.24,0.7800743405659536,0.6565765955581286
0.36,0.6787680879108925,0.5818406539895052
0.48,0.5896335239725297,0.526144341531497
0.6,0.5094193217118959,0.48044567052446513
0.72,0.43942101002119655,0.43199358276251526
0.84,0.3719903448014717,0.397328728350224
0.96,0.31669298543853736,0.3614062286790552
1.08,0.2710055448035213,0.330522236348257
1.2,0.23299208539733707,0.29798979464531333
1.32,0.20155390712790433,0.2719879603618659
1.44,0.1777581659504933,0.24128890563549038
1.56,0.15708989929852032,0.2217554260100018
1.68,0.13808791337794657,0.20143320037479162
1.8,0.12344815516413299,0.18245115364683276
1.92,0.1111341719331558,0.16760620815448277
2.04,0.09878447518102791,0.15351701460254266
2.16,0.087930647527088,0.14407709430786084
2.2800000000000002,0.07954286116701609,0.12998872235370995
2.4,0.07214015167693492,0.11835415818951507
2.52,0.06547431843116672,0.10587467345660913
2.64,0.0590790999703387,0.09884658747477054
2.7600000000000002,0.0533384110452375,0.08713990403518337
2.88,0.0472606788686752,0.07891525926846445
3.0,0.04262637112209666,0.07532350914618194
3.12,0.03765488695123948,0.06628018089652271
3.24,0.0338007710795115,0.06187453351337316
3.36,0.03139350080242116,0.05638507251755198
3.48,0.027062832505489774,0.05287791332738444
3.6,0.026660911185115557,0.047161298172115416
3.72,0.024623910972555434,0.044076574374529276
3.84,0.022865515191834943,0.03992137432605279
3.96,0.02204653019488875,0.03543124657703211
4.08,0.020555748500351922,0.03495238447234457
4.2,0.019602226172193395,0.030174201888824557
4.32,0.01835846645929105,0.02755685983082233
4.44,0.01774962524316126,0.026814389506416247
4.5600000000000005,0.016068309928048728,0.022265146226910462
4.68,0.015558717996644865,0.020120204039068102
4.8,0.015912331904399904,0.016725174263452994
4.92,0.016760004231990512,0.017675959094419245
5.04,0.01668251265732365,0.017290367960960597
5.16,0.016336865256766853,0.016114115785924754
5.28,0.015277007631558965,0.016716320237634516
5.4,0.014585421443382868,0.015776691023967025
5.5200000000000005,0.014774460926873652,0.016404719893286242
5.64,0.014979521855902855,0.01676893463265198
5.76,0.013760568694125803,0.015207052012377686
5.88,0.013395897480870285,0.015241540186638626
6.0,0.013530551154213307,0.015205546441974013
