t,D_HS
0,0.935064
0.2,0.727944
0.4,0.597072
0.6,0.472908
0.8,0.382418
1,0.323799
1.2,0.271867
1.4,0.230419
1.6,0.192182
1.8,0.155628
2,0.122303
2.2,0.112012
2.4,0.10235
2.6,0.0897013
2.8,0.0735601
3,0.0617529
3.2,0.0562505
3.4,0.0528288
3.6,0.0469442
3.8,0.0421783
4,0.04013
