N,ranks,M,wall_s,dhs
6,1,500,2.291888845,0.4111994044
6,8,500,0.468241066,0.4111994044
6,1,1000,5.029899314,0.4130284509
6,8,1000,0.899326509,0.4130284509
6,1,2000,9.869755318,0.4092826128
6,8,2000,1.753779425,0.4092826128
6,1,4000,19.48291223,0.4091845053
6,8,4000,3.498897931,0.4091845053
