d,t_cpu_s,t_gpu_s,speedup,gpu_gflops
64,0.0009628428000269196,0.00010418940000818111,9.24127406388093,20.128266405558804
128,0.0003865856000174972,0.00010591299997031456,3.6500297425797585,158.40563485787715
256,0.0026754275999792297,0.0007264031999966392,3.683116484056799,184.77028735641719
512,0.02134646879999309,0.005320218399992882,4.012329418661017,201.82288456455782
1024,0.17136404980001316,0.056517101200006435,3.032074295416865,151.98823735848333
2048,1.5836435169999732,0.2747275495999929,5.764414669390747,250.1368240500689
