N,d,t_cpu_s,t_gpu_s,speedup
4,16,0.10100516799997195,1.0014145439999993,0.10086249356487478
5,32,0.49136549700000387,1.428498683999976,0.3439733634364427
6,64,1.7711591200000498,2.267831476000026,0.7809923879899572
7,128,14.789952272999983,2.7543785299999968,5.369615000956314
8,256,115.27938024400004,22.93996649799999,5.025263670461359
9,512,942.910558473,189.5955572759999,4.973273488156566
