N,threads,steps,wall_s,dhs_final
7,1,200,36.78656017,0.4077026359
7,2,200,22.8659206,0.4077026359
7,4,200,16.25179359,0.4077026359
7,6,200,13.52786483,0.4077026359
7,8,200,12.68491801,0.4077026359
7,12,200,14.75678993,0.4077026359
7,16,200,19.93267145,0.4077026359
