t,D_far_plus,D_near_0
0.0,0.9872787597304437,0.838695821464864
0.12,0.8818562375365905,0.7411612759927168
0.24,0.7818116665239103,0.6584928491195812
0.36,0.6830453099953482,0.5887982102387549
0.48,0.5887700585708425,0.5300620297579537
0.6,0.5031057569226662,0.48009023753728086
0.72,0.4280937003111473,0.4366744523262564
0.84,0.3639246087708493,0.3979045393012318
0.96,0.3100410059100383,0.36243531776749716
1.08,0.2656162332717256,0.3295553736865128
1.2,0.2294923314548913,0.29905761252721075
1.32,0.20017858104125685,0.2710183759386945
1.44,0.17610959303801793,0.24558889316973004
1.56,0.15595298130125923,0.22284577329706817
1.68,0.13874871081715384,0.20270844894685275
1.8,0.12385257745194828,0.18492408945279065
1.92,0.11080550120134916,0.16911638758230552
2.04,0.09925275850220643,0.1548757781574714
2.16,0.08892919585440438,0.14184906048000936
2.2800000000000002,0.07965684619084802,0.12979034663355565
2.4,0.07132131101155618,0.118563184160653
2.52,0.06383384150269074,0.10811105003208506
2.64,0.057103138285897005,0.09842065037583117
2.7600000000000002,0.051032865558842046,0.08949281432632022
2.88,0.045538410738323334,0.08132402653810988
3.0,0.04056234680180583,0.0738965056120909
3.12,0.03607463215776967,0.06717484515228796
3.24,0.03205918623874342,0.06110805385186404
3.36,0.02849753382688368,0.055635419551075184
3.48,0.025358743078535684,0.05069377384072335
3.6,0.022598416581173054,0.046223703080880044
3.72,0.02016442109840017,0.04217327177766006
3.84,0.018005185319035055,0.038499109699153405
3.96,0.016076790399484415,0.03516545662009351
4.08,0.014346699223459396,0.0321419277136648
4.2,0.012793650185170228,0.029400822423460465
4.32,0.011404300935964675,0.02691492544034205
4.44,0.010168125578242301,0.024656648508918314
4.5600000000000005,0.009072977126272603,0.022598786590716406
4.68,0.008103530563827486,0.02071633561817228
4.8,0.007242928557958699,0.018988289835605156
4.92,0.006475764705832935,0.017398467258561926
5.04,0.005790037032486198,0.015935066993079082
5.16,0.0051770841742630426,0.014589361444344345
5.28,0.004630224360627099,0.013354243863988547
5.4,0.0041434484396866535,0.012223190996557295
5.5200000000000005,0.003710948016702944,0.011189782351244636
5.64,0.0033273112151436636,0.01024756790888657
5.76,0.0029877473521708157,0.00938999679230786
5.88,0.002687928250258504,0.008610282156747341
6.0,0.002423556544974038,0.007901289504808316
