source,system,domain,protocol,protocol_value,x_name,x,obs_name,obs
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.45,distance_to_equilibrium_D,1.31289682388305
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.46,distance_to_equilibrium_D,1.30099210739135
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.47,distance_to_equilibrium_D,1.2978175163269
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.48,distance_to_equilibrium_D,1.29027771949768
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.49,distance_to_equilibrium_D,1.29107136726379
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.5,distance_to_equilibrium_D,1.28710312843322
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.51,distance_to_equilibrium_D,1.29027771949768
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.52,distance_to_equilibrium_D,1.2799602985382
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.53,distance_to_equilibrium_D,1.27599205970764
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.54,distance_to_equilibrium_D,1.26964287757873
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.55,distance_to_equilibrium_D,1.26845240592956
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.56,distance_to_equilibrium_D,1.25694451332092
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.57,distance_to_equilibrium_D,1.25496025085449
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.58,distance_to_equilibrium_D,1.24821424484252
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.59,distance_to_equilibrium_D,1.24265871047973
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.6,distance_to_equilibrium_D,1.24623012542724
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.61,distance_to_equilibrium_D,1.24186506271362
