Tiempo t / h;Temperatura &J_1 / °C;Temperatura &J_2 / °C
17,6430094444659;62,7232778904639;25,0125301492698
17,643148055577;62,7063847809841;25,009275686307
17,6432869444659;62,6927632926328;25,0086476927594
17,6434261111325;62,6614287561777;24,9920412655121
17,6435647222436;62,6452971493572;24,9689307101758
17,6437038889103;62,6026507300948;24,9631995653758
17,6438427777992;62,5782570805208;24,9842174742266
17,6439813889103;62,5799563825722;24,9468011957642
17,6441200000214;62,5454646999285;25,1077611151634
17,6442591666881;62,5532093001874;25,0841480161509
17,6443983333548;62,5607279547788;25,1124076645812
17,6445372222436;62,544017964457;25,1427628508545
17,6446761111325;62,5481199535731;25,1101339067567
17,6448150000214;62,5594756741786;25,1169765377486
17,6449538889103;62,5570094724725;25,1079185040201
17,6450927777992;62,5151881137025;25,1256820048952
17,6452316666881;62,5040326667838;25,0936312232061
17,645370555577;62,4390813358909;25,0779653368847
17,6455094444659;62,403923856471;25,0825536866034
17,645648055577;62,3235147609411;25,0862911165647
17,6457872222436;62,2891854812706;25,0791999396606
17,6459261111325;62,2559022550384;25,0458424860149
17,6460650000214;62,209688506929;25,0173989173802
17,6462038889103;62,1914304142957;24,994161280172
17,6463427777992;62,1595559728389;25,0043276098168
17,6464816666881;62,1708679779278;24,9861124469356
17,646620555577;62,1610026740338;24,9551005665941
17,6467594444659;62,18713942236;24,9114713654844
17,646898055577;62,1611100462164;24,8931288865927
17,6470369444659;62,0174805827957;24,8562604699882
17,6471761111325;62,5100342291331;24,8710996082383
17,6473147222436;63,9304193908189;24,8694830429079
17,6474538889103;64,5288389494892;24,8455855253666
17,647593055577;64,4291955316597;24,8116218550151
17,6477316666881;63,4146483032794;24,8292100233707
17,647870555577;63,2362162430061;24,78764939033
17,6480094444659;63,4547265858603;24,8103118769858
17,6481483333548;63,7676803266245;24,7728101390395
17,6482872222436;63,5673063969348;24,7568143863716
17,6484261111325;63,5178649973078;24,7646342881714
17,6485647222436;63,1840908102638;24,7511867053568
17,6487038889103;62,9820464404847;24,7144992252795
17,6488427777992;62,9324425201895;24,7118232138894
17,6489816666881;62,798667048527;24,7119765432931
17,649120555577;62,7749644954246;24,7056643170294
17,6492591666881;62,7158031073584;24,6818215881075
17,649398055577;62,7279779685803;24,7041533785383
17,6495372222436;62,7205849020267;24,6425294116324
17,6496761111325;62,6983118001094;24,6535805286084
17,6498150000214;62,7197046405453;24,6298110383687
17,6499538889103;62,7586438724325;24,63344398689
17,6500927777992;62,7711970025504;24,5875451198202
17,6502316666881;62,7976475365886;24,5909291460642
17,650370555577;62,8286327723858;24,535643007681
17,6505094444659;62,8573930608148;24,5579005869665
17,6506483333547;62,8539822444321;24,5437445150961
17,6507875000214;62,8419148628899;24,5189610281782
17,6509263889103;62,7667985587133;24,4987534138182
17,6510650000214;62,5831840695765;24,4779577016413
17,6512038889103;62,3206592187564;24,509877889989
17,6513427777992;62,2812139403653;24,5120237952003
17,6514816666881;62,296622445883;24,457217289492
17,651620555577;62,2778675933884;24,4651932077493
17,6517594444659;62,3308065083075;24,4488888298371
17,6518983333548;62,4153757040931;24,4568864110186
17,6520375000214;62,5181950342019;24,4548937639675
17,6521761111325;62,369162054836;24,4310510619894
17,6523150000214;62,3752342225472;24,4367497787783
17,6524541666881;62,3991307854471;24,4410441022948
17,6525925000214;62,4279778333507;24,4121773842661
17,6527319444659;62,5189239297196;24,4309468160818
17,652870555577;62,5821381289255;24,4116932626105
17,6530097222436;63,1424697934477;24,4268880833388
17,6531483333547;63,2275217971444;24,3949678649936
17,6532872222436;63,3776637993169;24,3777069084111
17,6534261111325;63,6102026009555;24,3749817945088
17,6535650000214;63,7849712693485;24,3555776254419
17,6537038889103;63,8517209503312;24,368673078827
17,6538427777992;63,8698603652718;24,3623125580339
17,6539816666881;63,8502046565229;24,3504801172531
17,6541208333547;63,804810059261;24,3488890778243
17,6542594444659;63,7862349282987;24,3216376409305
17,6543986111325;63,7725695058232;24,3113408363915
17,6545369444659;63,6847726013835;24,2580213492814
17,6546758333548;63,5758506271808;24,2779313505852
17,6548150000214;63,4874260043948;24,2724812247026
17,6549536111325;63,4463774780659;24,2828756877711
17,6550925000214;63,2497887034239;24,2431328617165
17,6552313889103;63,2230416133258;24,3174506360349
17,6553702777992;63,228050319216;24,0642303737622
17,6555091666881;63,2374247497556;24,0492930964276
17,6556483333548;63,264334452878;24,0378622063751
17,6557869444659;63,223268539692;24,0453297040553
17,6559261111325;63,254097188524;24,0678387764291
17,6560650000214;63,2737354155382;23,8169137847824
17,6562038889103;63,2490709894694;23,9087384973639
17,6563427777992;63,2631259461284;23,7373034623461
17,6564819444659;63,3372574623865;23,0249345753521
17,656620555577;63,3688352894239;22,8581910471537
17,6567594444659;63,4123448687593;22,7731047137614
17,6568983333548;63,4162462499245;22,6860437924545
17,6570372222436;63,3532702108783;22,6723721335907
17,6571761111325;63,2149308553887;22,6770895952467
17,6573147222436;63,1264835162113;22,6794383753946
17,6574538889103;63,860076074643;22,6731262255335
17,6575927777992;63,5641604051158;22,6462796004935
17,6577316666881;63,5074272720574;22,6596542954277
17,657870555577;63,7940440522378;22,6587472820464
17,6580094444659;63,8023173642731;22,6301810970029
17,6581483333547;62,7117012856506;22,6322779295838
17,6582869444659;60,9950784197477;22,6069394566341
17,6584261111325;60,9857417767739;22,6355339197597
17,6585650000214;61,3876949193573;22,6128990220984
17,6587038889103;61,5437259932627;22,6144901118895
17,6588425000214;61,6174156778566;22,5991444289239
17,6589816666881;61,6754269634245;22,6089103919514
17,659120555577;61,8534900601417;22,5829709092216
17,6592591666881;61,9094943136915;22,6022221162451
17,6593983333548;61,9319503599028;22,6129204020998
17,6595375000214;61,9277145498906;22,5896573658588
17,6596761111325;61,9229216331699;22,5730035502841
17,6598147222436;61,8048419425182;22,576435649879
17,6599538889103;64,3741154971734;22,5803759418726
17,660093055577;64,5536549027724;22,5669740577635
17,6602316666881;64,4069981216531;22,5754802431289
17,660370555577;64,1183430428579;22,5644490004877
17,6605094444659;63,954083989508;22,5511531882336
17,6606483333548;63,9155077228268;22,5506474766228
17,6607869444659;63,961538447285;22,5449978696555
17,6609263889103;63,9383912220301;22,5323286331807
17,6610650000214;64,3053415462665;22,5475698199173
17,6612038889103;63,9312445735991;22,5290240429401
17,661343055577;50,4869864291081;22,5549408369912
17,6614816666881;43,9459126203078;22,5470369835435
17,6616202777992;39,8784444192947;22,5403277071761
17,6617594444659;36,975569547083;22,5349005834425
17,6618983333547;35,6478069720079;22,5076744501766
17,6620372222436;33,6170638971036;22,5493865358744
17,6621761111325;31,0392880582807;22,5047709643945
17,6623150000214;33,7523595890589;22,4992743094456
17,6624536111325;53,8028822068336;22,4852959974846
17,662593055577;63,0640046390152;22,46992424882
