Tiempo t / h;Temperatura &J_2 / °C;Temperatura &J_1 / °C
18,6278772221413;75,4233838603445;18,6249072070482
18,6347022222471;72,8462250710732;15,3101187212495
18,634841111136;72,8250118333566;15,2815634279508
18,6349800000249;72,7587700215416;15,1236778312538
18,6351188889138;72,6746463902996;15,0436698755893
18,6352577778027;72,5766643815303;15,0295884479059
18,6353966666916;72,3944905902035;15,105511755615
18,6355355555805;72,1692074991935;15,1674002839521
18,6356744444694;71,9724555504782;15,0739447764456
18,6358133333583;71,8358331866232;15,0573559527577
18,6359522222471;71,8073894333087;15,0224078772927
18,636091111136;71,7778682321763;15,0346480038829
18,6362300000249;71,7973649409275;14,9748213163997
18,6363688889138;71,831972149732;15,0633012988578
18,6365080555805;71,827462627201;14,9581734195039
18,6366466666916;71,7920979324999;14,9096627275626
18,6367852778027;71,7762553789497;14,812185068609
18,6369241666916;71,7926418444343;14,7398484374363
18,6370633333583;71,8169979035401;14,7837976705063
18,6372022222471;71,7972801834454;14,769004545341
18,637341111136;71,8092420639005;14,7971931288257
18,6374800000249;71,7765178125239;14,7611981739362
18,6376188889138;71,78052495345;14,6630448468332
18,6377583333583;71,7373311199464;14,5883543716743
18,6378966666916;71,7137700306879;14,5316366231929
18,6380358333583;71,6477058269354;14,4889413679225
18,6381744444694;71,6103587434993;14,5490320779392
18,6383133333583;71,585035589237;14,5464019180754
18,6384522222471;71,5083337612778;14,5550166597203
18,638591111136;71,220367417505;14,603624409029
18,6387300000249;70,9632180441229;14,6102105954826
18,6388688889138;70,822784191039;14,7040921334559
18,6390077778027;70,7811746682846;14,7130560073695
18,6391466666916;70,6460551802165;14,5621509507806
18,6392858333583;70,5947800806855;14,5010433856863
18,6394241666916;70,5337432421591;14,53462246997
18,6395633333583;70,5388898599815;14,5497751177472
18,6397022222471;70,5460223510869;14,5354298258892
18,6398413889138;70,6137617510006;14,4975878214341
18,6399800000249;70,5527530871572;14,5515987769321
18,6401188889138;70,4888326639051;14,6078645935261
18,6402575000249;70,4582144945953;14,6109148656343
18,6403966666916;70,4240699257531;14,5998576560145
18,6405358333583;70,3813010839076;14,5802075907287
18,6406744444694;70,4001051870625;14,5220973202071
18,6408133333583;70,3942940180381;14,4878162314831
18,6409522222471;70,3811727112516;14,4715129898915
18,641091111136;70,2881313481952;14,5154029544058
18,6412302778027;70,1945740990833;14,5594762337963
18,6413688889138;70,1006925543562;14,5381899738547
18,6415077778027;69,9870611413269;14,4652757129385
18,6416466666916;70,0040120143941;14,4674990561231
18,6417855555805;69,9819143302768;14,4424248064575
18,6419247222471;70,038815157229;14,354488154118
18,6420633333583;70,1898092815651;14,2373031268998
18,6422025000249;70,2670786819264;14,1055525928833
18,6423408333583;70,2982391795916;14,0282742501622
18,6424800000249;70,3348401985947;14,0230978098033
18,6426191666916;70,3289518071783;14,0517294275093
18,6427580555805;70,2778443501653;14,0565873739759
18,6428969444694;70,2795969672277;13,9110190868108
18,6430355555805;70,2373728602226;13,7585370653854
18,6431747222471;70,1678384455885;13,7253866438326
18,6433133333583;70,0977313974589;13,6727898119552
18,6434519444694;69,9848912364703;13,6004252880261
18,643591111136;69,9642060987143;13,5584993588434
18,6437300000249;69,9198439093356;13,5417818785702
18,6438688889138;69,8519260880691;13,6200699040066
18,6440077778027;69,7951182843524;13,619806718518
18,6441466666916;69,7532955976131;13,6810170292695
18,6442855555805;69,7171571855805;13,6966758819679
18,6444247222471;69,736491001335;13,6102612178577
18,6445633333583;69,7144851241867;13,5364493711194
18,6447022222471;69,6333586923426;13,5384724213033
18,644841111136;69,6184847631176;13,5889753777251
18,6449802778027;69,5763570361642;13,6740112048636
18,6451191666916;69,5304814527797;13,6172670634794
18,6452577778027;69,4404806844252;13,6145334844558
18,6453969444694;69,3458428989076;13,4806955609781
18,6455355555805;69,2930778247616;13,4550082694669
18,6456747222471;69,2401661104264;13,4691861452852
18,645813611136;69,1912311461314;13,4429180051016
18,6459525000249;69,0711480222267;13,5229712935657
18,646091111136;68,9610570913756;13,5154168895126
18,6462300000249;68,9070830578456;13,524446022509
18,6463688889138;68,8477760223831;13,4166549430581
18,6465080555805;68,7954329656466;13,4314138569123
18,6466466666916;68,7814434866674;13,4080352118771
18,6467855555805;68,7097806495319;13,4265554398033
18,6469244444694;68,6566406135664;13,360357704052
18,647063611136;68,5995779629099;13,3648606876463
18,6472019444694;68,5779734531561;13,3127718842476
18,647341111136;68,5080286779276;13,2686005959552
18,6474800000249;68,4776595809795;13,2435867967931
18,6476188889138;68,4493248185668;13,1527383644216
18,6477575000249;68,344949311426;13,1500050196596
18,6478969444694;68,275140381691;13,1763654203693
18,6480355555805;68,2016207915673;13,1356013610501
18,6481744444694;68,1648366883267;13,0828395308417
18,6483133333583;68,0953435780772;13,0538383341673
18,6484522222471;68,049258275298;13,117436345528
18,648591111136;67,9733960812296;13,113159198293
18,6487302778027;67,8904578115466;13,1047379579084
18,6488691666916;67,8313022060644;12,9941395540413
18,6490077778027;67,7742235026637;12,8911682857127
18,6491466666916;67,7294397114615;12,7757855589206
18,6492858333583;67,7325025321599;12,7003644738673
18,6494244444694;67,6274976399145;12,7486507565898
18,6495633333583;67,5709633336375;12,7131872735438
18,6497025000249;67,5029496837475;12,7512788065241
18,6498413889138;67,4667690347338;12,7683834173493
18,6499802778027;67,4595870028138;12,7296795760532
18,6501191666916;67,4549333382151;12,6991345028468
18,6502577778027;67,411358090118;12,7687099131938
18,6503966666916;67,3339502177188;12,7637838166767
18,6505355555805;67,2980506727316;12,7047294424567
18,6506744444694;67,2432570826051;12,6939903431616
18,6508133333583;67,2055880380407;12,5503440943246
18,6509525000249;67,1207856689884;12,5926927979949
18,6510913889138;67,0959647995944;12,7161142046
18,6512297222471;67,0075634236966;12,5858757355841
18,6513688889138;66,9676051704418;12,5232089646636
18,6515080555805;66,9275098660127;12,4555074620872
18,6516466666916;66,8185312977639;12,5510542481224
18,6517855555805;66,7239438928686;12,5384813224136
18,6519244444694;66,6598613251009;12,5153318561387
18,6520633333583;66,6977525923555;12,4543832789027
18,6522022222471;66,661563414227;12,3217022256137
18,652341111136;66,6538877603464;12,227084068962
18,6524802778027;66,6259781898816;12,1519851818151
18,6526188889138;66,5944093034079;12,0716131445078
18,6527577778027;66,5603469771766;12,0448331961488
18,6528966666916;66,5064398136249;12,0536054837963
18,6530355555805;66,3853211532486;12,1030210489792
18,6531744444694;66,3251954961964;12,0854359687908
18,653313611136;66,2361479865007;12,0831186130506
18,6534522222471;66,2601516289402;12,1735894816507
18,653591111136;66,235407346765;12,1830379911083
18,6537302778027;66,2453292010504;12,1482568989906
18,6538691666916;66,2501708039083;12,1898226297146
18,6540080555805;66,2061615375079;12,2142240078236
18,6541466666916;66,1696831720023;12,0861417455197
18,6542855555805;66,1229396318402;12,0890003946558
18,6544244444694;66,0642269642272;12,0967162454412
18,6545633333583;66,0246338896821;12,1165903414456
18,6547022222471;66,0092579446868;12,0467883824402
18,654841111136;65,99200208767;12,031780064828
18,6549802778027;65,9423252631746;12,0121969749046
18,6551188889138;65,903387304126;12,0511951891749
18,6552577778027;65,8720142632891;11,9694727862698
18,6553966666916;65,8194289109218;11,9819138045618
18,6555358333583;65,7510465540009;11,9394400431409
18,6556744444694;65,6947335426622;11,9444910339454
18,6558133333583;65,6157605348703;12,0111683044764
18,6559525000249;65,5977982418127;11,969086202631
18,656091111136;65,5905733269818;11,9033036420164
18,6562302778027;65,5557885154099;11,8793547690679
18,6563688889138;65,4914255225689;11,8363120616647
