t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.145,0.6395226745,0.5819205788,0.008141532271,0.2651529526,0.2252946188,0.0001246270306
0.1475,0.6390386745,0.5812881663,0.008475280493,0.2647711797,0.2245581517,0.0001166659299
0.15,0.6387386745,0.5806494171,0.008071165961,0.2644692525,0.2237535928,0.0001104972918
0.1525,0.6382614237,0.58008201,0.009303949226,0.2641303747,0.2231421519,0.0001186900509
0.155,0.6377744527,0.5793521663,0.007911386059,0.2637897784,0.2224471161,0.0001263753945
0.1575,0.6373812292,0.5787421799,0.009023918686,0.2634338074,0.221812932,0.0001082908294
0.16,0.6370112156,0.5780386413,0.007968866674,0.263136805,0.2212390603,0.0001171237488
0.1625,0.6367468035,0.5774201663,0.006816271734,0.2628865326,0.2206724735,9.372473363e-05
0.165,0.6364649861,0.5770654171,0.009105676485,0.2626618047,0.2202931255,0.0001327351011
0.1675,0.6361129861,0.5766861231,0.009384045296,0.2624001753,0.2198705964,0.0001257496429
0.17,0.635926131,0.5763585045,0.009043640843,0.2622547811,0.2194775441,0.0001301957695
0.1725,0.6357345563,0.5759116757,0.009294682854,0.2620648237,0.2191288296,0.0001382873987
0.175,0.6356277295,0.5753928103,0.007749600365,0.2619318766,0.2187090186,0.0001102619007
0.1775,0.6353280803,0.5750367668,0.007742112691,0.2617653375,0.2183660279,0.0001099788319
0.18,0.6352452705,0.5745300406,0.008175933306,0.2616246699,0.2180058452,0.0001043279082
0.1825,0.6349592841,0.5742278529,0.008036277156,0.2614953047,0.2177488263,0.0001231249636
0.185,0.6348651339,0.5740912156,0.009364007441,0.2613147928,0.2174666016,0.0001449892531
0.1875,0.6346784224,0.5737444663,0.008392816519,0.2612377005,0.2171793894,0.0001102490931
0.19,0.6345395354,0.5734863786,0.0073152036,0.2611097393,0.2169936324,0.0001071984562
0.1925,0.6343503847,0.5732824864,0.007262206706,0.2609710699,0.2168047858,0.0001168009622
0.195,0.6342109776,0.5729779189,0.007456285681,0.2609241321,0.2165738998,0.0001196975679
0.1975,0.6339409096,0.5727337159,0.008233869308,0.2607856427,0.2164210498,0.0001400756963
0.2,0.6338823847,0.5725944788,0.007679372155,0.2607122352,0.216277444,0.0001077572515
0.2025,0.6337559257,0.572438131,0.008207397341,0.2606589017,0.2161516338,0.0001219366975
0.205,0.6336634336,0.5722671476,0.006539147874,0.260606203,0.2159895476,8.596084949e-05
0.2075,0.6335527282,0.5721111476,0.007592241117,0.2604617125,0.2158705178,0.0001025397495
0.21,0.6334215784,0.5719077295,0.007539246186,0.2603344268,0.2157246589,9.119709917e-05
0.2125,0.6332086079,0.5717284924,0.007360820853,0.2602199846,0.2156076694,0.000107052368
0.215,0.633132291,0.5715751476,0.007874176755,0.2601575417,0.2154893877,0.0001155450232
0.2175,0.6330845787,0.5714951476,0.008539805987,0.2600890092,0.2154219752,0.0001259281857
0.22,0.6329619663,0.5713271476,0.007503856557,0.2599991686,0.2152892915,0.0001092635949
0.2225,0.6328206449,0.5711408962,0.007405333836,0.2599591723,0.2151877824,0.0001015227835
0.225,0.6326492613,0.5710804924,0.00798265123,0.2598924702,0.2151002763,0.0001055550714
0.2275,0.6326286599,0.5709017713,0.009294425173,0.2598796315,0.2150396341,0.0001211258855
0.23,0.6325033095,0.5707511476,0.008488404597,0.2597882671,0.2148988919,0.0001201319956
0.2325,0.6325268184,0.5706425924,0.008446663794,0.2597599986,0.214852593,0.0001111454362
0.235,0.6323942651,0.5706149098,0.008296625961,0.2596615511,0.214804475,0.0001120711116
0.2375,0.6323283074,0.5704835648,0.008862214122,0.2596356946,0.2146948595,0.000119246837
0.24,0.6322881323,0.5703989098,0.00946543616,0.2595715335,0.2146380192,0.0001304343133
0.2425,0.6322488156,0.5701825719,0.005902346955,0.2595231575,0.2145113077,8.970307795e-05
0.245,0.6320754795,0.5700625924,0.008576160625,0.259410236,0.2144569083,0.0001135171055
0.2475,0.6319617981,0.5700271476,0.008609687441,0.2593732287,0.2144258535,0.0001457349261
0.25,0.6318729291,0.5698269431,0.008940492519,0.2593381407,0.2143408103,0.0001104837915
0.2525,0.6318221202,0.5696775784,0.007823628094,0.2592739133,0.2142635589,9.460131801e-05
0.255,0.6317380099,0.569649979,0.01023263059,0.2592019316,0.2141941217,0.0001167541632
0.2575,0.6316585826,0.569546802,0.008014212343,0.2591932583,0.214161855,9.741453168e-05
0.26,0.6315610538,0.5694395648,0.007973378666,0.2590988671,0.2140958579,9.048851826e-05
0.2625,0.6314527842,0.5693926429,0.009177282972,0.259045281,0.2140279779,0.0001160669022
0.265,0.6314395648,0.5693007378,0.008894354621,0.2589942346,0.2139963819,0.0001032532759
0.2675,0.6313954739,0.5691865943,0.009604641697,0.2589494233,0.2139278934,0.0001315165231
0.27,0.6313549427,0.5691210416,0.00936000209,0.2588830692,0.2138846817,0.0001176549864
0.2725,0.6312948043,0.5690447031,0.00880688196,0.2588803034,0.2138355907,0.0001126252041
0.275,0.6311878514,0.5689464973,0.006813894326,0.2588174833,0.2138038825,9.076695851e-05
0.2775,0.6311691511,0.5689037254,0.008386366811,0.258781348,0.213745624,0.000106104829
0.28,0.6311628711,0.5689460698,0.008272217006,0.258736577,0.2137226239,0.0001197053472
0.2825,0.631019408,0.5687734659,0.008174914764,0.2587046087,0.2136661777,0.0001128043662
0.285,0.630994326,0.5687333965,0.008106095489,0.2586342209,0.2136467775,0.0001066227886
0.2875,0.6309270341,0.5686470341,0.00727046937,0.2586127132,0.2135810669,0.0001078479368
0.29,0.6309022338,0.5685621798,0.00759323858,0.2585679047,0.2135189368,0.0001085919474
0.2925,0.6308151319,0.5685055665,0.007949853418,0.2585039146,0.2134747461,9.540591801e-05
0.295,0.6308088828,0.5684248226,0.007915539659,0.2584939495,0.2134347303,0.0001011455802
0.2975,0.6307062338,0.5683569291,0.007296305918,0.258444955,0.2134001344,0.0001097330285
0.3,0.6306094659,0.5683225797,0.008269600009,0.2584377227,0.2133672527,0.0001098965758
0.3025,0.6305035496,0.5682140099,0.007722219113,0.2583473119,0.2132765566,8.282486958e-05
0.305,0.6304840774,0.5681209291,0.008237114578,0.2583014039,0.2132563713,0.000117877587
0.3075,0.6304614709,0.5680614659,0.007242585249,0.2582919381,0.2132053354,0.0001024721843
0.31,0.6304096171,0.5679780242,0.008292981855,0.2582886772,0.2131799512,0.0001103355179
0.3125,0.6303540638,0.567913109,0.007435463353,0.2582161144,0.2131586097,0.0001171191457
0.315,0.6303052824,0.5679281834,0.007926184174,0.258180792,0.2131221251,9.420477676e-05
0.3175,0.630247304,0.5678955831,0.008749043507,0.2581656589,0.2130766149,0.0001071040266
0.32,0.6301562474,0.5678518703,0.008017483411,0.2581033422,0.2130682786,0.0001205572472
0.3225,0.6301438514,0.5678355496,0.00857409339,0.258091927,0.2130503355,0.0001142064582
0.325,0.6300619882,0.5677759962,0.008879104611,0.2580435414,0.2130098131,0.0001057316954
0.3275,0.6300319003,0.5676676743,0.009324993038,0.2580131698,0.2129797706,0.0001320484712
0.33,0.6300170255,0.5675623551,0.009654126885,0.2579867486,0.2129531211,0.0001121109488
0.3325,0.6299744994,0.5674861798,0.009683042541,0.2579360442,0.2128789845,0.0001656143986
0.335,0.6298802474,0.56740717,0.008992891244,0.2578759346,0.2128398762,0.0001088609384
0.3375,0.6298075529,0.5673954845,0.009916211765,0.2578315169,0.2127779473,0.0001440056555
0.34,0.6298333036,0.5673415385,0.006961614362,0.2578378196,0.2127681255,7.967178037e-05
0.3425,0.6297480774,0.5672808542,0.008674085617,0.2577973578,0.212749034,9.91922053e-05
0.345,0.6297714549,0.5672626979,0.006195462539,0.2577483653,0.2127083131,9.628223971e-05
0.3475,0.6296621798,0.5671797193,0.008372336966,0.2577283864,0.2127034158,0.0001039345833
0.35,0.6295514047,0.5671264508,0.007165190345,0.2576709479,0.212632274,0.0001012450887
