t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0,1.494478339,1.108522569,0.007016223555,11.8384577,2.280983108,8.93029665e-05
0.0025,1.449201335,1.049558838,0.008213659883,10.43396583,1.654909929,0.0001209681707
0.005,1.397398448,0.9965541744,0.00998807252,7.668494694,1.291352952,0.0001377465136
0.0075,1.339291729,0.9514541746,0.00755607772,4.495282855,1.080423244,0.0001342974752
0.01,1.27042161,0.9076901755,0.007366638223,2.829343041,0.9433847257,0.0001270762965
0.0125,1.188065472,0.8711982891,0.008580487056,1.936477466,0.8494201085,0.0001168819973
0.015,1.096736099,0.8431596102,0.008409914321,1.414098294,0.7812558265,0.0001271647108
0.0175,1.007897304,0.821142497,0.009696374359,1.093254577,0.7275063538,0.0001318845421
0.02,0.9321748375,0.8053010247,0.008307542861,0.8852107017,0.6833510775,0.0001096113001
0.0225,0.8717012252,0.7921124171,0.008291888726,0.7434856871,0.6453627327,0.0001033101067
0.025,0.8252199551,0.7808197828,0.008842117814,0.6447615551,0.6126089563,0.0001043445079
0.0275,0.7893607311,0.7695172036,0.01029596527,0.5749228619,0.5830532779,0.0001303837775
0.03,0.7629983326,0.7592982219,0.009868758636,0.5229491382,0.5570346712,0.0001318797196
0.0325,0.7449684729,0.7497554454,0.009289612834,0.4842036116,0.5333650022,0.0001180372142
0.035,0.732129984,0.7405160383,0.007161788043,0.4539423192,0.5114427412,9.433426396e-05
0.0375,0.723599208,0.7317778098,0.008856570348,0.4294545033,0.4910465647,0.0001095744937
0.04,0.7180502306,0.7231622219,0.007689897535,0.410201513,0.471893778,8.855068373e-05
0.0425,0.713292335,0.7150862219,0.00825783826,0.3946472435,0.4545063107,0.0001005022066
0.045,0.7081191989,0.7067648456,0.009035591091,0.3813221824,0.4379551007,0.0001343919776
0.0475,0.7042866373,0.699739,0.0075984832,0.370160583,0.4220918321,9.754073693e-05
0.05,0.7003331853,0.6920822219,0.00724657125,0.3606116996,0.4073076836,0.0001338984724
0.0525,0.6969398123,0.6857355949,0.007835561796,0.3518825921,0.3942346149,0.0001075772678
0.055,0.6933306373,0.679230947,0.008785856824,0.3445943341,0.3820053169,0.0001160086374
0.0575,0.689718024,0.6732027247,0.008292507134,0.337593206,0.3703646016,0.0001067316325
0.06,0.6865248658,0.667454947,0.007793690247,0.3317220538,0.3593611172,9.068432728e-05
0.0625,0.6835307535,0.6626077098,0.008264139387,0.3262751077,0.3493259632,8.886900415e-05
0.065,0.6802210358,0.6572936962,0.007879156662,0.3212335141,0.3400076552,9.779227849e-05
0.0675,0.6771990494,0.6523957098,0.006006469035,0.3165822821,0.3310933727,8.051268165e-05
0.07,0.6747104674,0.6478790965,0.007404303615,0.3123841729,0.3226450283,8.895183557e-05
0.0725,0.6722610153,0.642982777,0.006316675797,0.3085988998,0.314920656,7.198189405e-05
0.075,0.6699783332,0.638810947,0.007919972401,0.3049843138,0.3077361134,9.032675499e-05
0.0775,0.6682390961,0.6347556362,0.008685927361,0.3015266016,0.3009900868,9.006730811e-05
0.08,0.6661130825,0.6310370824,0.006665985204,0.2983906677,0.2948833885,9.922862548e-05
0.0825,0.6639001496,0.6276203195,0.008716023473,0.2955816448,0.2889035877,0.0001133174271
0.085,0.6618724908,0.62396226,0.00947397985,0.2928538352,0.283482524,0.0001215400336
0.0875,0.6603242353,0.6211123195,0.006732824091,0.2905303629,0.2787371084,8.05582497e-05
0.09,0.6583803208,0.6181600972,0.007587016377,0.2879974253,0.2740628467,9.098900915e-05
0.0925,0.6567423072,0.6155690824,0.007501478339,0.2860873705,0.2697314448,0.0001145370408
0.095,0.6555904772,0.6125198741,0.007688155615,0.2843867237,0.2656324307,9.48782372e-05
0.0975,0.6540869446,0.6100296033,0.007099268526,0.2826267657,0.2617223179,8.287200922e-05
0.1,0.6526304772,0.6077220643,0.008881784091,0.2807246693,0.2582590784,0.0001150070486
0.1025,0.6513821804,0.6052598123,0.006887453045,0.2790081793,0.255142607,9.108188622e-05
0.105,0.6502230936,0.6032083196,0.007945307299,0.2775703854,0.2523312113,0.0001080821052
0.1075,0.6493105924,0.6018358123,0.008561169068,0.276340342,0.2497249075,0.000119055077
0.11,0.6482564908,0.5994730825,0.008367417681,0.2750898394,0.2467390201,0.000102622815
0.1125,0.6472684576,0.5978278123,0.007516887714,0.2738237978,0.2443040404,9.987299535e-05
