t,T,a2
1.48,0.5822129668,-0.04808872035
1.49,0.580353654,-0.04774913964
1.5,0.5785031161,-0.04741552066
1.51,0.5766613002,-0.04708774952
1.52,0.5748281538,-0.04676571468
1.53,0.5730036247,-0.04644930689
1.54,0.571187661,-0.04613841916
1.55,0.5693802114,-0.04583294667
1.56,0.5675812245,-0.04553278679
1.57,0.5657906497,-0.04523783896
1.58,0.5640084364,-0.04494800469
1.59,0.5622345346,-0.0446631875
1.6,0.5604688945,-0.04438329287
1.61,0.5587114665,-0.04410822822
1.62,0.5569622016,-0.04383790283
1.63,0.555221051,-0.04357222784
1.64,0.5534879662,-0.04331111617
1.65,0.5517628992,-0.04305448253
1.66,0.550045802,-0.04280224332
1.67,0.5483366272,-0.04255431666
1.68,0.5466353277,-0.04231062229
1.69,0.5449418565,-0.04207108158
1.7,0.5432561673,-0.04183561746
1.71,0.5415782137,-0.04160415445
1.72,0.5399079499,-0.04137661852
1.73,0.5382453303,-0.04115293716
1.74,0.5365903096,-0.04093303931
1.75,0.5349428429,-0.04071685529
1.76,0.5333028855,-0.04050431684
1.77,0.5316703931,-0.04029535705
1.78,0.5300453215,-0.04008991033
1.79,0.5284276271,-0.03988791238
1.8,0.5268172664,-0.0396893002
1.81,0.5252141963,-0.039494012
1.82,0.5236183739,-0.03930198724
1.83,0.5220297566,-0.03911316656
1.84,0.5204483021,-0.03892749175
1.85,0.5188739686,-0.03874490577
1.86,0.5173067142,-0.03856535267
1.87,0.5157464975,-0.03838877763
1.88,0.5141932775,-0.03821512687
1.89,0.5126470133,-0.03804434767
1.9,0.5111076643,-0.03787638835
1.91,0.5095751902,-0.03771119822
1.92,0.508049551,-0.03754872756
1.93,0.506530707,-0.03738892766
1.94,0.5050186186,-0.03723175072
1.95,0.5035132468,-0.03707714986
1.96,0.5020145525,-0.03692507913
1.97,0.5005224971,-0.03677549345
1.98,0.4990370423,-0.0366283486
1.99,0.4975581498,-0.03648360124
2,0.4960857817,-0.03634120884
2.01,0.4946199006,-0.03620112968
2.02,0.4931604689,-0.03606332285
2.03,0.4917074497,-0.03592774823
2.04,0.490260806,-0.03579436645
2.05,0.4888205012,-0.03566313889
2.06,0.487386499,-0.03553402769
2.07,0.4859587634,-0.03540699567
2.08,0.4845372583,-0.0352820064
2.09,0.4831219483,-0.0351590241
2.1,0.481712798,-0.03503801369
2.11,0.4803097722,-0.03491894075
2.12,0.478912836,-0.0348017715
2.13,0.4775219548,-0.03468647281
2.14,0.4761370942,-0.03457301217
2.15,0.4747582201,-0.03446135768
2.16,0.4733852983,-0.03435147803
2.17,0.4720182953,-0.03424334251
2.18,0.4706571775,-0.03413692097
2.19,0.4693019117,-0.03403218383
2.2,0.4679524649,-0.03392910207
2.21,0.4666088042,-0.03382764721
