step,time_reduced,T_reduced,T_K,coordination_number
0,0,0.3957824494,1232.635029,7.234375
50,0.25,0.3654253239,1138.090017,7.15625
100,0.5,0.394722943,1229.335275,7.546875
150,0.75,0.3770580108,1174.319157,7.40625
200,1,0.4061568056,1264.945191,7.765625
250,1.25,0.3916139002,1219.652393,7.6875
300,1.5,0.4182758793,1302.689145,7.703125
350,1.75,0.4014752453,1250.364819,7.40625
400,2,0.4008938076,1248.553974,7.40625
450,2.25,0.3804021043,1184.734087,7.421875
500,2.5,0.3844769972,1197.425038,7.3125
550,2.75,0.3890745626,1211.743814,7.140625
600,3,0.3536332885,1101.364599,7.203125
650,3.25,0.3686218182,1148.045262,7.3125
700,3.5,0.3905815113,1216.437094,7.5625
750,3.75,0.3722396483,1159.312725,7.625
800,4,0.4667796166,1453.750431,7.78125
850,4.25,0.3893669025,1212.654285,7.484375
900,4.5,0.3850316291,1199.152398,7.46875
950,4.75,0.3915508156,1219.45592,7.40625
1000,5,0.392938323,1223.777209,7.53125
1050,5.25,0.3705228627,1153.965923,7.765625
1100,5.5,0.4484390103,1396.629975,7.640625
1150,5.75,0.3721925559,1159.166059,7.6875
1200,6,0.440321826,1371.349608,7.421875
1250,6.25,0.3546551898,1104.547235,7.28125
1300,6.5,0.391195591,1218.349599,7.34375
1350,6.75,0.4052988766,1262.273235,7.734375
1400,7,0.4211432579,1311.619383,7.734375
1450,7.25,0.3864160678,1203.46413,7.421875
1500,7.5,0.4132815365,1287.134636,7.40625
1550,7.75,0.355025919,1105.701844,7.4375
1600,8,0.384283863,1196.823536,7.640625
1650,8.25,0.4085647074,1272.444422,7.921875
1700,8.5,0.3810656279,1186.800582,7.796875
1750,8.75,0.3610710429,1124.528933,7.5625
1800,9,0.4034607527,1256.548534,7.53125
1850,9.25,0.3922516559,1221.638635,7.421875
1900,9.5,0.353309227,1100.355334,7.15625
1950,9.75,0.3750247782,1167.986805,7.46875
2000,10,0.4081039607,1271.009461,7.734375
