t,0.0006666667,0.002,0.003333333,0.004666667,0.006,0.007333333,0.008666667,0.01,0.01133333,0.01266667,0.014,0.01533333,0.01666667,0.018,0.01933333,0.02066667,0.022,0.02333333,0.02466667,0.026,0.02733333,0.02866667,0.03,0.03133333,0.03266667,0.034,0.03533333,0.03666667,0.038,0.03933333,0.04066667,0.042,0.04333333,0.04466667,0.046,0.04733333,0.04866667,0.05,0.05133333,0.05266667,0.054,0.05533333,0.05666667,0.058,0.05933333,0.06066667,0.062,0.06333333,0.06466667,0.066,0.06733333,0.06866667,0.07,0.07133333,0.07266667,0.074,0.07533333,0.07666667,0.078,0.07933333
0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
10,27.76805,28.27352,28.7718,29.231,29.59687,29.84131,29.96218,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
20,25.80265,26.29516,26.80163,27.32078,27.83202,28.32286,28.77584,29.17079,29.48957,29.7222,29.87132,29.95213,29.98714,29.99806,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,23.92328,24.39595,24.88387,25.3893,25.89872,26.41001,26.91935,27.42053,27.90455,28.35971,28.77263,29.1303,29.42278,29.64579,29.80217,29.90141,29.95729,29.9845,29.99556,29.9991,29.9999,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
40,22.12183,22.57486,23.04274,23.52801,24.01867,24.51442,25.01466,25.51818,26.02289,26.52542,27.02076,27.50203,27.96057,28.3865,28.76973,29.10141,29.37558,29.59035,29.74848,29.85693,29.92551,29.96503,29.98548,29.9948,29.99845,29.99964,29.99994,29.99999,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
50,20.39484,20.82895,21.27733,21.74244,22.21292,22.68879,23.17,23.65639,24.14759,24.64292,25.14119,25.64048,26.13789,26.62931,27.10929,27.57106,28.00686,28.40853,28.76838,29.0802,29.3402,29.54773,29.70542,29.81883,29.89553,29.94398,29.97233,29.98756,29.99498,29.99822,29.99946,29.99986,29.99997,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
60,18.7385,19.15441,19.58404,20.02967,20.48049,20.93656,21.39791,21.86458,22.33654,22.81373,23.29594,23.7828,24.27365,24.76739,25.26234,25.75604,26.2451,26.7251,27.19056,27.63514,28.05199,28.4343,28.77598,29.07242,29.3211,29.52199,29.67761,29.79269,29.87356,29.92728,29.96082,29.98038,29.99095,29.9962,29.99857,29.99952,29.99986,29.99997,29.99999,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
70,17.15088,17.54931,17.96092,18.38783,18.81973,19.25667,19.69872,20.14592,20.59831,21.05594,21.51882,21.98691,22.46012,22.93826,23.42095,23.90757,24.39713,24.88817,25.37859,25.86555,26.3454,26.81359,27.26485,27.69336,28.09312,28.45842,28.78442,29.06765,29.30645,29.50121,29.65435,29.77004,29.8537,29.91138,29.94914,29.97249,29.98607,29.99345,29.99716,29.99888,29.9996,29.99988,29.99997,29.99999,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
80,15.62923,16.01088,16.40519,16.81412,17.22785,17.64642,18.0699,18.49832,18.93175,19.37025,19.81385,20.2626,20.71652,21.17563,21.63989,22.1092,22.58336,23.06202,23.5446,24.03023,24.51762,25.00499,25.48993,25.96936,26.43948,26.89583,27.3334,27.74692,28.13116,28.48133,28.79353,29.06517,29.2952,29.48429,29.63476,29.75036,29.83585,29.89651,29.93767,29.96429,29.98062,29.9901,29.99526,29.99789,29.99914,29.99968,29.99989,29.99997,29.99999,30,30,30,30,30,30,30,30,30,30,30
