t,T_mean_C,T_skin_C,T_bulk_C,enthalpy_J,mass_kg,rms_dist_to_bath_C
660,-14.72666281,-15.77824582,-14.69040133,-6045.69899,0.09882539264,3.349633982
670,-14.88696144,-15.88829972,-14.85243253,-6111.1809,0.0988184291,3.185820826
680,-15.03999118,-15.99333053,-15.00711741,-6173.676806,0.09881169418,3.029430454
690,-15.18606955,-16.09355916,-15.1547768,-6233.318445,0.09880518504,2.88013889
700,-15.32550057,-16.18919703,-15.29571793,-6290.231869,0.09879889844,2.737635899
710,-15.45857533,-16.28044647,-15.43023495,-6344.537679,0.09879283075,2.601624435
720,-15.58557253,-16.36750112,-15.55860948,-6396.351262,0.09878697803,2.47182009
730,-15.70675896,-16.45054627,-15.68111112,-6445.783003,0.09878133606,2.347950579
740,-15.82239003,-16.52975921,-15.79799799,-6492.9385,0.09877590041,2.22975524
750,-15.93271019,-16.60530961,-15.90951711,-6537.918767,0.09877066645,2.11698455
760,-16.03795347,-16.67735977,-16.01590497,-6580.820428,0.09876562939,2.009399667
770,-16.1383438,-16.746065,-16.1173879,-6621.735901,0.09876078434,1.906771985
780,-16.23409555,-16.81157385,-16.2141825,-6660.753582,0.09875612629,1.808882706
790,-16.32541382,-16.87402848,-16.30649607,-6697.958012,0.09875165017,1.715522436
800,-16.41249492,-16.93356484,-16.39452699,-6733.430046,0.09874735089,1.626490788
810,-16.49552667,-16.990313,-16.47846507,-6767.247007,0.09874322332,1.541596007
820,-16.57468879,-17.04439736,-16.55849195,-6799.482839,0.09873926232,1.460654607
830,-16.65015325,-17.09593692,-16.6347814,-6830.208254,0.09873546279,1.383491024
840,-16.72208457,-17.1450455,-16.70749971,-6859.490868,0.09873181964,1.309937284
850,-16.79064013,-17.19183194,-16.77680593,-6887.395335,0.09872832783,1.239832683
860,-16.85597052,-17.23640035,-16.84285225,-6913.983476,0.09872498239,1.173023479
870,-16.91821976,-17.2788503,-16.90578422,-6939.3144,0.0987217784,1.109362597
880,-16.97752564,-17.31927698,-16.96574111,-6963.444622,0.09871871103,1.048709349
890,-17.03401994,-17.35777144,-17.02285609,-6986.428172,0.09871577551,0.9909291636
900,-17.08782872,-17.39442074,-17.07725658,-7008.31671,0.09871296719,0.9358933235
910,-17.13907253,-17.42930811,-17.1290644,-7029.159619,0.0987102815,0.8834787193
920,-17.18786666,-17.46251316,-17.1783961,-7049.004111,0.09870771396,0.8335676095
930,-17.2343214,-17.49411198,-17.2253631,-7067.895319,0.09870526023,0.7860473927
940,-17.27854217,-17.52417732,-17.27007199,-7085.876385,0.09870291603,0.7408103877
950,-17.32062981,-17.55277875,-17.31262467,-7102.988549,0.09870067723,0.6977536237
960,-17.36068073,-17.57998276,-17.35311859,-7119.271232,0.0986985398,0.6567786391
970,-17.39878713,-17.60585292,-17.39164693,-7134.762115,0.0986964998,0.6177912885
980,-17.43503714,-17.63044999,-17.42829877,-7149.49721,0.09869455343,0.5807015578
990,-17.46951505,-17.65383205,-17.46315929,-7163.510942,0.098692697,0.5454233876
1000,-17.50230142,-17.67605464,-17.49630993,-7176.836208,0.09869092692,0.5118745032
1010,-17.53347327,-17.69717082,-17.52782853,-7189.504451,0.09868923972,0.4799762528
1020,-17.56310424,-17.7172313,-17.55778952,-7201.545721,0.09868763204,0.4496534517
1030,-17.59126472,-17.73628457,-17.58626403,-7212.988734,0.09868610063,0.4208342339
1040,-17.61802197,-17.75437694,-17.61332007,-7223.860934,0.09868464236,0.3934499098
1050,-17.64344032,-17.7715527,-17.63902265,-7234.188545,0.09868325417,0.36743483
1060,-17.66758122,-17.78785415,-17.66343388,-7243.996625,0.09868193316,0.3427262552
1070,-17.69050342,-17.80332172,-17.68661314,-7253.30912,0.09868067649,0.3192642323
1080,-17.71226308,-17.81799405,-17.70861718,-7262.14891,0.09867948143,0.2969914754
1090,-17.73291383,-17.83190803,-17.72950024,-7270.537856,0.09867834536,0.2758532529
1100,-17.75250697,-17.84509895,-17.74931414,-7278.496842,0.09867726575,0.25579728
1110,-17.77109147,-17.8576005,-17.7681084,-7286.045826,0.09867624016,0.2367736162
1120,-17.78871417,-17.86944486,-17.78593035,-7293.20387,0.09867526624,0.2187345689
1130,-17.80541979,-17.8806628,-17.80282521,-7299.989189,0.09867434175,0.201634602
1140,-17.82125109,-17.89128368,-17.81883617,-7306.419179,0.09867346451,0.1854302507
1150,-17.83624888,-17.90133558,-17.83400451,-7312.510461,0.09867263243,0.1700800426
1160,-17.85045219,-17.9108453,-17.84836967,-7318.27891,0.09867184352,0.1555444259
1170,-17.86389828,-17.91983845,-17.86196931,-7323.739692,0.09867109584,0.1417857063
1180,-17.87662276,-17.92833946,-17.87483943,-7328.907288,0.09867038755,0.1287679937
1190,-17.88865964,-17.93637172,-17.88701439,-7333.795533,0.09866971687,0.1164571637
1200,-17.90004139,-17.9439575,-17.89852704,-7338.417638,0.0986690821,0.1048208369
1210,-17.91079904,-17.95111812,-17.90940873,-7342.786219,0.0986684816,0.09382838695
1220,-17.92096223,-17.95787392,-17.91968941,-7346.913327,0.09866791382,0.08345098977
1230,-17.93055924,-17.96424431,-17.92939769,-7350.810465,0.09866737724,0.07366174269
1240,-17.93961711,-17.97024783,-17.93856088,-7354.488621,0.09866687042,0.06443589925
1250,-17.94816164,-17.97590219,-17.94720507,-7357.958285,0.09866639199,0.05575131311
1260,-17.95621748,-17.98122429,-17.95535517,-7361.229471,0.09866594062,0.04758927879
1270,-17.96380814,-17.98623027,-17.96303496,-7364.311743,0.09866551505,0.03993617898
1280,-17.97095608,-17.99093551,-17.97026714,-7367.214228,0.09866511406,0.03278690497
1290,-17.97768277,-17.99535474,-17.97707339,-7369.945641,0.09866473649,0.026152557
1300,-17.98400866,-17.99950196,-17.9834744,-7372.5143,0.09866438123,0.02007967605
1310,-17.98995329,-18.00339058,-17.98948994,-7374.928144,0.09866404721,0.01470433594
1320,-17.99553532,-18.00703338,-17.99513884,-7377.194752,0.09866373342,0.01041567734
1330,-18.00077256,-18.01044254,-18.00043911,-7379.321356,0.09866343888,0.00819693244
1340,-18.00568198,-18.01362971,-18.00540792,-7381.314857,0.09866316266,0.00900377714
1350,-18.01027981,-18.01660597,-18.01006167,-7383.181843,0.09866290387,0.0118426566
1360,-18.01458152,-18.01938194,-18.01441599,-7384.928597,0.09866266165,0.01536546986
1370,-18.01860187,-18.0219677,-18.01848581,-7386.561116,0.0986624352,0.01900231097
1380,-18.02235494,-18.02437289,-18.02228536,-7388.08512,0.09866222374,0.02255387492
1390,-18.02585418,-18.02660671,-18.02582823,-7389.506066,0.09866202651,0.02594613856
1400,-18.0291124,-18.02867793,-18.02912738,-7390.829161,0.09866184282,0.02915096743
1410,-18.03214183,-18.0305949,-18.03219517,-7392.05937,0.09866167198,0.03215924775
1420,-18.03495413,-18.03236559,-18.03504339,-7393.201429,0.09866151334,0.03497057192
1430,-18.03756043,-18.03399761,-18.03768328,-7394.259854,0.09866136628,0.03758879417
1440,-18.03997132,-18.03549821,-18.04012557,-7395.238952,0.09866123022,0.0400199271
1450,-18.04219693,-18.03687428,-18.04238047,-7396.142829,0.09866110459,0.04227106945
1460,-18.0442469,-18.03813242,-18.04445775,-7396.975402,0.09866098885,0.04434982685
1470,-18.04613042,-18.0392789,-18.04636668,-7397.740402,0.09866088248,0.0462639848
1480,-18.04785626,-18.0403197,-18.04811614,-7398.441387,0.098660785,0.04802131808
1490,-18.04943276,-18.04126052,-18.04971456,-7399.081749,0.09866069594,0.0496294775
1500,-18.05086789,-18.04210679,-18.05117,-7399.664719,0.09866061485,0.05109592233
1510,-18.05216924,-18.04286368,-18.05249012,-7400.193377,0.0986605413,0.05242788033
1520,-18.05334402,-18.04353612,-18.05368223,-7400.670659,0.0986604749,0.05363232533
1530,-18.05439914,-18.0441288,-18.05475329,-7401.099358,0.09866041525,0.05471596575
1540,-18.05534115,-18.04464618,-18.05570994,-7401.48214,0.09866036198,0.05568524038
1550,-18.05617629,-18.04509253,-18.05655849,-7401.821539,0.09866031475,0.05654631893
1560,-18.05691052,-18.04547189,-18.05730496,-7402.119973,0.09866027321,0.05730510558
1570,-18.05754951,-18.04578812,-18.05795508,-7402.379741,0.09866023705,0.05796724469
1580,-18.05809866,-18.04604488,-18.0585143,-7402.603034,0.09866020597,0.05853812776
1590,-18.05856309,-18.04624568,-18.05898783,-7402.791937,0.09866017968,0.05902290127
1600,-18.0589477,-18.04639382,-18.05938059,-7402.948434,0.09866015789,0.05942647496
1610,-18.05925714,-18.04649248,-18.0596973,-7403.074415,0.09866014035,0.05975353044
1620,-18.05949583,-18.04654466,-18.05994243,-7403.171676,0.09866012681,0.06000852983
1630,-18.059668,-18.04655321,-18.06012024,-7403.241927,0.09866011703,0.06019572439
1640,-18.05977765,-18.04652085,-18.06023478,-7403.286795,0.09866011078,0.06031916306
1650,-18.05982858,-18.04645017,-18.0602899,-7403.307826,0.09866010785,0.06038270079
1660,-18.05982443,-18.04634362,-18.06028928,-7403.306492,0.09866010803,0.06039000676
1670,-18.05976863,-18.04620354,-18.06023639,-7403.284191,0.09866011113,0.06034457222
1680,-18.05966446,-18.04603213,-18.06013454,-7403.242252,0.09866011697,0.06024971823
1690,-18.05951504,-18.04583152,-18.05998689,-7403.181938,0.09866012536,0.06010860304
1700,-18.05932332,-18.04560369,-18.05979641,-7403.10445,0.09866013614,0.05992422928
1710,-18.05909211,-18.04535054,-18.05956596,-7403.010928,0.09866014916,0.05969945079
1720,-18.05882408,-18.04507388,-18.05929822,-7402.902454,0.09866016425,0.05943697933
1730,-18.05852175,-18.0447754,-18.05899577,-7402.780057,0.09866018129,0.05913939085
1740,-18.05818755,-18.04445675,-18.05866102,-7402.644713,0.09866020013,0.05880913168
1750,-18.05782374,-18.04411944,-18.0582963,-7402.497348,0.09866022063,0.05844852438
1760,-18.05743249,-18.04376494,-18.05790378,-7402.33884,0.09866024269,0.05805977331
1770,-18.05701585,-18.04339463,-18.05748555,-7402.170024,0.09866026619,0.05764497008
1780,-18.05657578,-18.04300982,-18.05704358,-7401.99169,0.098660291,0.0572060987
1790,-18.05611412,-18.04261175,-18.05657972,-7401.804588,0.09866031704,0.05674504049
1800,-18.05563262,-18.04220159,-18.05609576,-7401.609426,0.0986603442,0.05626357884
1810,-18.05513294,-18.04178046,-18.05559337,-7401.406879,0.09866037238,0.05576340373
1820,-18.05461663,-18.0413494,-18.05507413,-7401.197583,0.09866040151,0.05524611607
1830,-18.0540852,-18.0409094,-18.05453954,-7400.982141,0.09866043148,0.05471323182
1840,-18.05354005,-18.04046141,-18.05399104,-7400.761125,0.09866046223,0.05416618598
1850,-18.05298251,-18.04000632,-18.05342996,-7400.535073,0.09866049368,0.05360633637
1860,-18.05241383,-18.03954496,-18.05285758,-7400.304498,0.09866052576,0.05303496724
1870,-18.05183521,-18.03907812,-18.0522751,-7400.069881,0.0986605584,0.05245329275
1880,-18.05124776,-18.03860656,-18.05168366,-7399.831679,0.09866059154,0.05186246027
1890,-18.05065255,-18.03813097,-18.05108433,-7399.590321,0.09866062511,0.05126355355
1900,-18.05005059,-18.03765203,-18.05047812,-7399.346216,0.09866065907,0.05065759574
1910,-18.0494428,-18.03717035,-18.04986599,-7399.099745,0.09866069335,0.05004555227
1920,-18.0488301,-18.03668652,-18.04924884,-7398.851271,0.09866072791,0.04942833361
1930,-18.04821331,-18.0362011,-18.04862752,-7398.601134,0.09866076269,0.04880679793
1940,-18.04759322,-18.03571461,-18.04800283,-7398.349656,0.09866079767,0.04818175356
1950,-18.04697058,-18.03522753,-18.04737551,-7398.097137,0.09866083278,0.04755396146
1960,-18.04634609,-18.03474033,-18.04674629,-7397.843863,0.098660868,0.04692413748
1970,-18.04572041,-18.03425344,-18.04611582,-7397.5901,0.09866090329,0.04629295454
1980,-18.04509414,-18.03376725,-18.04548473,-7397.336099,0.09866093861,0.04566104476
1990,-18.04446789,-18.03328215,-18.0448536,-7397.082095,0.09866097392,0.04502900142
2000,-18.04384217,-18.03279849,-18.04422299,-7396.828308,0.09866100921,0.04439738089
2010,-18.04321751,-18.0323166,-18.04359341,-7396.574946,0.09866104443,0.04376670444
2020,-18.04259439,-18.03183679,-18.04296534,-7396.3222,0.09866107957,0.04313745998
2030,-18.04197323,-18.03135934,-18.04233923,-7396.070253,0.09866111459,0.04251010375
2040,-18.04135447,-18.03088451,-18.04171551,-7395.819273,0.09866114948,0.04188506182
2050,-18.04073849,-18.03041257,-18.04109456,-7395.569417,0.09866118421,0.04126273169
2060,-18.04012565,-18.02994373,-18.04047675,-7395.320832,0.09866121876,0.04064348368
2070,-18.03951628,-18.0294782,-18.03986242,-7395.073653,0.09866125311,0.04002766232
