t,0.0006666667,0.002,0.003333333,0.004666667,0.006,0.007333333,0.008666667,0.01,0.01133333,0.01266667,0.014,0.01533333,0.01666667,0.018,0.01933333,0.02066667,0.022,0.02333333,0.02466667,0.026,0.02733333,0.02866667,0.03,0.03133333,0.03266667,0.034,0.03533333,0.03666667,0.038,0.03933333,0.04066667,0.042,0.04333333,0.04466667,0.046,0.04733333,0.04866667,0.05,0.05133333,0.05266667,0.054,0.05533333,0.05666667,0.058,0.05933333,0.06066667,0.062,0.06333333,0.06466667,0.066,0.06733333,0.06866667,0.07,0.07133333,0.07266667,0.074,0.07533333,0.07666667,0.078,0.07933333
0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
10,89.80428,90.95408,92.08737,93.12976,93.9654,94.53732,94.85043,94.97297,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
20,85.27592,86.40077,87.56012,88.74973,89.91668,91.03216,92.05845,92.95447,93.68527,94.23267,94.60214,94.82188,94.93383,94.98082,94.99612,94.99958,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
30,80.94034,82.02198,83.14207,84.30561,85.4768,86.6498,87.81483,88.95697,90.05582,91.08623,92.02089,92.83438,93.50802,94.03411,94.41804,94.67725,94.83738,94.92673,94.97107,94.99026,94.99731,94.99943,94.99992,94.99999,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
40,76.77592,77.8142,78.89017,80.00963,81.14104,82.28344,83.43493,84.59209,85.74933,86.89817,88.02666,89.11928,90.15742,91.12071,91.98922,92.74607,93.38016,93.88814,94.2751,94.55379,94.74241,94.86157,94.93135,94.96889,94.98728,94.99537,94.99853,94.99961,94.99991,94.99999,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
50,72.77368,73.76997,74.80266,75.87712,76.9638,78.06266,79.17345,80.2956,81.42797,82.56855,83.71406,84.85949,85.99766,87.11886,88.21075,89.25869,90.24645,91.15753,91.97679,92.69225,93.29674,93.78894,94.17365,94.46114,94.66568,94.80361,94.89135,94.94374,94.97292,94.98798,94.99513,94.99822,94.99942,94.99984,94.99996,94.99999,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
60,68.92909,69.88494,70.87584,71.90662,72.94926,74.00386,75.07049,76.14916,77.23974,78.34192,79.45502,80.57784,81.70844,82.84377,83.97943,85.10928,86.22527,87.3173,88.37342,89.38028,90.32394,91.19094,91.96959,92.65115,93.23092,93.70881,94.08938,94.38131,94.59634,94.74797,94.84997,94.91519,94.95468,94.97722,94.98929,94.99532,94.99812,94.99931,94.99977,94.99993,94.99998,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
70,65.23649,66.15339,67.10405,68.09275,69.09286,70.10449,71.12778,72.16283,73.20974,74.26854,75.33921,76.42157,77.51525,78.61956,79.7333,80.85464,81.98083,83.108,84.23088,85.34266,86.43491,87.49763,88.51962,89.48891,90.39356,91.22256,91.9667,92.61954,93.17803,93.64284,94.01833,94.31208,94.53411,94.69584,94.8091,94.88515,94.93398,94.96386,94.98123,94.99079,94.99575,94.99817,94.99927,94.99973,94.99991,94.99997,94.99999,95,95,95,95,95,95,95,95,95,95,95,95,95
80,61.69039,62.56981,63.48173,64.42995,65.38911,66.35935,67.3408,68.33357,69.33781,70.35361,71.38109,72.42032,73.47132,74.53402,75.60824,76.69358,77.78933,78.89439,80.00704,81.12481,82.24431,83.36097,84.46898,85.56117,86.62906,87.66307,88.65283,89.58774,90.45757,91.25321,91.96739,92.59529,93.13504,93.5878,93.95776,94.25169,94.47831,94.64755,94.76974,94.85485,94.91192,94.94868,94.97137,94.98475,94.99227,94.99628,94.99831,94.99928,94.99971,94.99989,94.99996,94.99999,95,95,95,95,95,95,95,95
