,time,th,enta,entaq,P_AQ,EA,EAQ
0,0.0,0.4,0.0,0.61412874,0.22650981081348923,0.0,-0.22650981081348917
1,0.0,0.6,0.0,1.01634592,0.4684147481860452,0.0,-0.46841474818604517
2,0.0,0.8,0.0,1.34577795,0.7268494141697578,0.0,-0.7268494141697577
3,0.0,1.0,0.0,1.57697419,0.939074138783111,0.0,-0.9390741387831109
4,0.0,1.2,0.0,1.71917158,1.0756987699222074,0.0,-1.0756987699222074
5,0.0,1.4,0.0,1.79251303,1.1454502491278162,0.0,-1.145450249127816
6,1.0,0.4,1.6208953496416574,2.005320873773796,0.27072976136134264,-0.8032293773046282,-1.0688078080549288
7,1.0,0.6,1.4700915795593221,2.1496969707909606,0.4859391153883826,-0.7047867505684307,-1.1919764756199092
8,1.0,0.8,1.3457880730872482,2.2621162011744964,0.6586861847325848,-0.6353018833569941,-1.3058760963051095
9,1.0,1.0,1.2892282563731061,2.3525585747632576,0.7717988646763703,-0.6103660794343221,-1.403358235738956
10,1.0,1.2,1.2869540330665163,2.4178519816685458,0.8339023696817425,-0.6139067149850836,-1.4736602173119344
11,1.0,1.4,1.3068725909734513,2.4591025311504424,0.861869304604765,-0.6261736333093771,-1.5163071355203197
12,2.0,0.4,2.2587851923766817,2.4789082913677127,0.20058280539297252,-1.2687856276748404,-1.4705630494962443
13,2.0,0.6,2.183285062881356,2.5631488641016946,0.34680013035270596,-1.203419487641007,-1.5570097099820224
14,2.0,0.8,2.13015092151856,2.626141932485939,0.4526116930361413,-1.1611515835122792,-1.6270881616855808
15,2.0,1.0,2.120104459971591,2.67761518844697,0.5121267798387303,-1.1567009236894168,-1.687301449953285
16,2.0,1.2,2.128160391217587,2.709838014746336,0.5399387900500549,-1.1666004949325746,-1.726515699943815
17,2.0,1.4,2.143342455652655,2.7308696387831857,0.5511486797565834,-1.1807792979983298,-1.7533081686577288
18,3.0,0.4,2.593503060697413,2.7167695765016875,0.13269565673924,-1.5843510767559996,-1.7198175926648367
19,3.0,0.6,2.5588084177062145,2.7666809062598867,0.2245844387977845,-1.547793451853643,-1.7787221904358035
20,3.0,0.8,2.5405825012979686,2.805153877088036,0.2862482908147791,-1.5303891131097342,-1.8260066880967512
21,3.0,1.0,2.540809354223485,2.8325445357954546,0.31822723509896544,-1.5306755720705845,-1.8606905883806497
22,3.0,1.2,2.5497760627282977,2.8501186916121757,0.33022622569385235,-1.5407290338435347,-1.8834940934145792
23,3.0,1.4,2.5582780364894795,2.859092375293466,0.33245876395099133,-1.5502634830365238,-1.8955712269128546
24,4.0,0.4,2.7728753198425196,2.839056188008999,0.0796388408255159,-1.7858399175350177,-1.867376710998059
25,4.0,0.6,2.760494566259887,2.868972372237288,0.1310611287533272,-1.7701376890864184,-1.9047805137257516
26,4.0,0.8,2.755695942613122,2.892186932647059,0.16557609523957423,-1.7644200400241548,-1.9347545235812151
27,4.0,1.0,2.760523550558712,2.9086387894507575,0.18076988053493964,-1.7699455680500578,-1.9562686989824714
28,4.0,1.2,2.7650962434723785,2.918305678162345,0.18828632630439548,-1.7751074247850616,-1.96922042442905
29,4.0,1.4,2.7700064652439025,2.92326651135255,0.1888756916605045,-1.7810306634799964,-1.9758179812477317
30,5.0,0.4,2.8668347958737317,2.903437656335964,0.047017087821547544,-1.9023565819171273,-1.9502439400854508
31,5.0,0.6,2.863835977423729,2.922614549480226,0.07586360183337462,-1.8972338608233605,-1.9746582365895415
32,5.0,0.8,2.8644493519387755,2.9376147184013606,0.0948478701487337,-1.8972398582835621,-1.9942371466696027
33,5.0,1.0,2.8697270149526517,2.9482066773011364,0.10221051417050724,-1.9038762265438227,-2.008398444957867
34,5.0,1.2,2.873080548105975,2.954185339413754,0.10601732574713935,-1.9079971757243295,-2.016476075662445
