t,D_HS
0,0.140854
0.25,0.123741
0.5,0.108723
0.75,0.094417
1,0.0808989
1.25,0.0685684
1.5,0.0577123
1.75,0.0483943
2,0.0405076
2.25,0.0338728
2.5,0.0283075
2.75,0.0236518
3,0.0197676
3.25,0.0165329
3.5,0.0138396
3.75,0.0115946
4,0.0097194
4.25,0.00815021
4.5,0.00683564
4.75,0.00573415
5,0.00481158
5.25,0.00403933
5.5,0.00339312
5.75,0.0028522
6,0.00239902
