N,threads,m,tau,nchunks,Lapplies,wall_s,dhs
7,1,30,0.5,8,240,11.62961662,0.3960811236
7,2,30,0.5,8,240,6.393940506,0.3960811236
7,4,30,0.5,8,240,4.632584077,0.3960811236
7,6,30,0.5,8,240,3.920062239,0.3960811236
7,8,30,0.5,8,240,3.5455073,0.3960811236
7,12,30,0.5,8,240,4.181433505,0.3960811236
7,16,30,0.5,8,240,5.215595259,0.3960811236
