t,D_far_plus,D_near_0
0.0,0.9872787597304437,0.838695821464864
0.25,0.7735158726636087,0.6522159986740788
0.5,0.5738093154811182,0.5211857085940615
0.75,0.41105057598209377,0.42660997143913437
1.0,0.29423088102740735,0.35120624809664996
1.25,0.21654258636557788,0.28706687660781255
1.5,0.16561104913911734,0.23388237603119597
1.75,0.1298110895337682,0.19207056960480037
2.0,0.10295588069131399,0.15947226502721892
2.25,0.08188337053709041,0.1327233890476201
2.5,0.06502661189478987,0.10980011584887703
2.75,0.0515157119080668,0.09020768275728082
3.0,0.04056234392984058,0.07389650455364222
3.25,0.031745377221206836,0.060630181473982386
3.5,0.02487376021553084,0.049917520366278535
3.75,0.019600741157439955,0.041220968592748736
4.0,0.01547932034651577,0.03412455304858465
4.25,0.012195469919824085,0.028335592786823474
4.5,0.00960381226866122,0.023604303854275928
4.75,0.0075893380778968705,0.019690692157936725
5.0,0.00601015502073524,0.01640940510844192
5.25,0.00476107527081078,0.013653016002778628
5.5,0.003779499030680614,0.011355509226300542
5.75,0.0030144679195312826,0.009458391563304781
6.0,0.002423556410472291,0.007901289475647921
