t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.145,0.627114147,0.5990485788,0.008141532271,0.2572089771,0.2377771036,0.0001246270306
0.1475,0.6262494171,0.5982373417,0.008475280493,0.2564759721,0.236944871,0.0001166659299
0.15,0.6259061799,0.5976014171,0.008071165961,0.2558905058,0.236120088,0.0001104972918
0.1525,0.6254641663,0.59695401,0.009303949226,0.255310619,0.2353897887,0.0001186900509
0.155,0.6247314035,0.5962801663,0.007911386059,0.2547234243,0.2346866836,0.0001263753945
0.1575,0.6240794373,0.5957021799,0.009023918686,0.2541731053,0.2339969916,0.0001082908294
0.16,0.6235879776,0.5951573839,0.007968866674,0.2536395064,0.2334027385,0.0001171237488
0.1625,0.6232028035,0.5943001663,0.006816271734,0.2531792659,0.2328152874,9.372473363e-05
0.165,0.6226286609,0.5941014171,0.009105676485,0.2528007789,0.2324209247,0.0001327351011
0.1675,0.6223252537,0.5935301231,0.009384045296,0.252404249,0.2319983242,0.0001257496429
0.17,0.621913076,0.5933585045,0.009043640843,0.2521286482,0.2315615146,0.0001301957695
0.1725,0.6216398529,0.5929116757,0.009294682854,0.2517948066,0.2311790878,0.0001382873987
0.175,0.6213284663,0.5923848103,0.007749600365,0.2515065763,0.2307762298,0.0001102619007
0.1775,0.6210275205,0.592034975,0.007742112691,0.2512383578,0.2304259784,0.0001099788319
0.18,0.6207487107,0.5915322488,0.008175933306,0.2509691492,0.2300577869,0.0001043279082
0.1825,0.6203614923,0.5912278529,0.008036277156,0.2507037737,0.2297265666,0.0001231249636
0.185,0.6202179189,0.5911392156,0.009364007441,0.2505222698,0.2294561971,0.0001449892531
0.1875,0.6200671697,0.5907810592,0.008392816519,0.2503319843,0.2291332115,0.0001102490931
0.19,0.6198288803,0.5903714075,0.0073152036,0.2501085939,0.2288801783,0.0001071984562
0.1925,0.6196031162,0.590039783,0.007262206706,0.2499620489,0.2286481145,0.0001168009622
0.195,0.6194344177,0.5897499189,0.007456285681,0.2498271215,0.2284327448,0.0001196975679
0.1975,0.6190637754,0.5894531561,0.008233869308,0.2496377825,0.2282098743,0.0001400756963
0.2,0.6189237295,0.5892419189,0.007679372155,0.2494895745,0.2280508692,0.0001077572515
0.2025,0.6188092705,0.589130131,0.008207397341,0.2494273909,0.2279155169,0.0001219366975
0.205,0.6186394336,0.5888311476,0.006539147874,0.2493147626,0.2276968311,8.596084949e-05
0.2075,0.6183858654,0.5885884924,0.007592241117,0.2490998148,0.2275431397,0.0001025397495
0.21,0.6181204924,0.5884319372,0.007539246186,0.2489356189,0.2273712158,9.119709917e-05
0.2125,0.6180063847,0.5881684924,0.007360820853,0.2488028883,0.227250602,0.000107052368
0.215,0.6178853038,0.5880684924,0.007874176755,0.2486886873,0.2271099803,0.0001155450232
0.2175,0.6177139236,0.5879025877,0.008539805987,0.2485670881,0.2270271831,0.0001259281857
0.22,0.6175195354,0.5877791476,0.007503856557,0.2484696572,0.2268780406,0.0001092635949
0.2225,0.6174058654,0.5875733416,0.007405333836,0.248382665,0.2267588338,0.0001015227835
0.225,0.6173425924,0.5874127,0.00798265123,0.248307073,0.2266428096,0.0001055550714
