t,D_L1,D_KL,D_e
0,1.059729361,3.989335023,3.989335023
0.1,1.05152725,3.93252963,3.93252963
0.2,1.043435432,3.876589308,3.876589308
0.3,1.035452424,3.821499937,3.821499937
0.4,1.027576762,3.767247677,3.767247677
0.5,1.019807002,3.713818955,3.713818955
0.6,1.012141722,3.661200463,3.661200463
0.7,1.004579516,3.609379145,3.609379145
0.8,0.9971189969,3.558342193,3.558342193
0.9,0.9897587987,3.508077041,3.508077041
1,0.982497572,3.458571355,3.458571355
1.1,0.9753339859,3.409813031,3.409813031
1.2,0.9682667276,3.361790189,3.361790189
1.3,0.9612945016,3.314491161,3.314491161
1.4,0.9544160301,3.267904496,3.267904496
1.5,0.9476300524,3.222018945,3.222018945
1.6,0.9409353247,3.176823463,3.176823463
1.7,0.93433062,3.132307201,3.132307201
1.8,0.9278147279,3.0884595,3.0884595
1.9,0.9213864539,3.045269891,3.045269891
2,0.91504462,3.002728087,3.002728087
2.1,0.9087880638,2.960823979,2.960823979
2.2,0.9026156386,2.919547636,2.919547636
2.3,0.8965262131,2.878889295,2.878889295
2.4,0.8905186712,2.838839363,2.838839363
2.5,0.8845919118,2.79938841,2.79938841
2.6,0.8787448487,2.760527164,2.760527164
2.7,0.8729764101,2.722246514,2.722246514
2.8,0.8672855389,2.684537501,2.684537501
2.9,0.861671192,2.647391315,2.647391315
3,0.8561323404,2.610799296,2.610799296
3.1,0.8506679689,2.574752926,2.574752926
3.2,0.845277076,2.539243831,2.539243831
3.3,0.8399586737,2.504263774,2.504263774
3.4,0.8347117871,2.469804654,2.469804654
3.5,0.8295354546,2.435858505,2.435858505
3.6,0.8244287275,2.402417489,2.402417489
3.7,0.8193906698,2.369473898,2.369473898
3.8,0.8144203581,2.33702015,2.33702015
3.9,0.8095168814,2.305048785,2.305048785
4,0.8046793411,2.273552464,2.273552464
4.1,0.7999068505,2.242523968,2.242523968
4.2,0.7951985348,2.211956194,2.211956194
4.3,0.7905535312,2.181842152,2.181842152
4.4,0.7859709882,2.152174966,2.152174966
4.5,0.781450066,2.122947869,2.122947869
4.6,0.776989936,2.094154203,2.094154203
4.7,0.7725897807,2.065787415,2.065787415
4.8,0.7682487937,2.037841057,2.037841057
4.9,0.7639661792,2.010308783,2.010308783
5,0.7597411524,1.983184348,1.983184348
5.1,0.755572939,1.956461606,1.956461606
5.2,0.7514607748,1.930134508,1.930134508
5.3,0.7474039064,1.904197098,1.904197098
5.4,0.74340159,1.878643517,1.878643517
5.5,0.7394530922,1.853467995,1.853467995
5.6,0.7355576893,1.828664856,1.828664856
5.7,0.7317146673,1.804228509,1.804228509
5.8,0.7279233218,1.780153453,1.780153453
5.9,0.724182958,1.756434271,1.756434271
6,0.7204928903,1.733065632,1.733065632
6.1,0.7168524424,1.710042286,1.710042286
6.2,0.7132609471,1.687359066,1.687359066
6.3,0.709717746,1.665010884,1.665010884
6.4,0.7062221899,1.642992733,1.642992733
6.5,0.702773638,1.62129968,1.62129968
6.6,0.6993714583,1.599926871,1.599926871
6.7,0.6960150271,1.578869525,1.578869525
6.8,0.6927037294,1.558122936,1.558122936
6.9,0.6894369583,1.53768247,1.53768247
7,0.6862141149,1.517543563,1.517543563
7.1,0.6830346086,1.497701723,1.497701723
7.2,0.6798978567,1.478152526,1.478152526
7.3,0.6768032842,1.458891615,1.458891615
7.4,0.6737503239,1.4399147,1.4399147
7.5,0.6707384164,1.421217557,1.421217557
7.6,0.6677670095,1.402796027,1.402796027
7.7,0.6648355587,1.384646013,1.384646013
7.8,0.6619435267,1.366763482,1.366763482
7.9,0.6590903835,1.34914446,1.34914446
8,0.656275606,1.331785036,1.331785036
8.1,0.6534986784,1.314681357,1.314681357
8.2,0.6507590917,1.297829629,1.297829629
8.3,0.6480563439,1.281226115,1.281226115
8.4,0.6453899395,1.264867135,1.264867135
8.5,0.6427593898,1.248749065,1.248749065
8.6,0.6401642128,1.232868335,1.232868335
8.7,0.6376039327,1.21722143,1.21722143
8.8,0.6350780804,1.201804888,1.201804888
8.9,0.6325861928,1.186615297,1.186615297
9,0.6301278132,1.1716493,1.1716493
9.1,0.6277024911,1.156903588,1.156903588
9.2,0.625309782,1.142374903,1.142374903
9.3,0.6229492472,1.128060035,1.128060035
9.4,0.6206204542,1.113955824,1.113955824
9.5,0.6183229762,1.100059156,1.100059156
9.6,0.616056392,1.086366964,1.086366964
9.7,0.6138202862,1.072876227,1.072876227
9.8,0.611614249,1.059583971,1.059583971
9.9,0.6094378761,1.046487264,1.046487264
10,0.6072907685,1.033583219,1.033583219
10.1,0.6051725327,1.020868993,1.020868993
10.2,0.6030827806,1.008341785,1.008341785
10.3,0.6010211291,0.9959988347,0.9959988347
10.4,0.5989872002,0.9838374253,0.9838374253
10.5,0.5969806213,0.9718548791,0.9718548791
10.6,0.5950010246,0.9600485587,0.9600485587
10.7,0.5930480473,0.9484158661,0.9484158661
10.8,0.5911213313,0.9369542422,0.9369542422
10.9,0.5892205236,0.9256611658,0.9256611658
11,0.5873452757,0.9145341536,0.9145341536
11.1,0.5854952441,0.903570759,0.903570759
11.2,0.5836700895,0.8927685719,0.8927685719
11.3,0.5818694776,0.8821252184,0.8821252184
11.4,0.5800930781,0.8716383594,0.8716383594
11.5,0.5783405657,0.861305691,0.861305691
11.6,0.5766116191,0.8511249433,0.8511249433
11.7,0.5749059213,0.8410938804,0.8410938804
11.8,0.5732231598,0.8312102993,0.8312102993
11.9,0.5715630261,0.8214720299,0.8214720299
12,0.5699252161,0.8118769344,0.8118769344
12.1,0.5683094294,0.8024229065,0.8024229065
12.2,0.5667153699,0.7931078713,0.7931078713
12.3,0.5651427456,0.7839297845,0.7839297845
12.4,0.563591268,0.7748866323,0.7748866323
12.5,0.562060653,0.7659764307,0.7659764307
12.6,0.5605506199,0.757197225,0.757197225
12.7,0.559060892,0.7485470895,0.7485470895
12.8,0.5575911963,0.740024127,0.740024127
12.9,0.5561412633,0.7316264684,0.7316264684
13,0.5547108274,0.7233522721,0.7233522721
13.1,0.5532996264,0.715199724,0.715199724
13.2,0.5519074015,0.7071670366,0.7071670366
13.3,0.5505338977,0.699252449,0.699252449
13.4,0.5491788632,0.6914542262,0.6914542262
13.5,0.5478420496,0.6837706588,0.6837706588
13.6,0.546523212,0.6762000628,0.6762000628
13.7,0.5452221086,0.6687407789,0.6687407789
13.8,0.5439385009,0.6613911723,0.6613911723
13.9,0.5426721537,0.6541496326,0.6541496326
14,0.5414228349,0.6470145728,0.6470145728
14.1,0.5401903155,0.6399844295,0.6399844295
14.2,0.5389743696,0.6330576624,0.6330576624
14.3,0.5377747744,0.6262327537,0.6262327537
14.4,0.5365913099,0.6195082082,0.6195082082
14.5,0.5354237593,0.6128825525,0.6128825525
14.6,0.5342719086,0.6063543353,0.6063543353
14.7,0.5331355466,0.5999221262,0.5999221262
14.8,0.5320144652,0.5935845162,0.5935845162
14.9,0.5309084587,0.587340117,0.587340117
15,0.5298173246,0.5811875605,0.5811875605
15.1,0.5287408628,0.5751254992,0.5751254992
15.2,0.527678876,0.5691526049,0.5691526049
15.3,0.5266311696,0.5632675693,0.5632675693
15.4,0.5255975515,0.5574691033,0.5574691033
15.5,0.5245778323,0.5517559366,0.5517559366
15.6,0.5235718252,0.5461268178,0.5461268178
15.7,0.5225793457,0.5405805137,0.5405805137
15.8,0.5216002119,0.5351158095,0.5351158095
15.9,0.5206342444,0.5297315078,0.5297315078
16,0.519681266,0.5244264293,0.5244264293
16.1,0.5187411023,0.5191994117,0.5191994117
16.2,0.5178135808,0.51404931,0.51404931
16.3,0.5168985315,0.5089749958,0.5089749958
16.4,0.5159957868,0.5039753574,0.5039753574
16.5,0.5151051812,0.4990492994,0.4990492994
16.6,0.5142265514,0.4941957425,0.4941957425
16.7,0.5133597363,0.4894136234,0.4894136234
16.8,0.5125045773,0.484701894,0.484701894
16.9,0.5116609174,0.480059522,0.480059522
17,0.5108286021,0.4754854901,0.4754854901
17.1,0.5100074788,0.4709787959,0.4709787959
17.2,0.509197397,0.4665384517,0.4665384517
17.3,0.5083982083,0.4621634843,0.4621634843
17.4,0.5076097662,0.4578529348,0.4578529348
17.5,0.5068319261,0.4536058585,0.4536058585
17.6,0.5060645455,0.4494213243,0.4494213243
17.7,0.5053074838,0.4452984149,0.4452984149
17.8,0.5045606022,0.4412362264,0.4412362264
17.9,0.5038237638,0.4372338683,0.4372338683
18,0.5030968335,0.433290463,0.433290463
18.1,0.5023796782,0.4294051458,0.4294051458
18.2,0.5016721663,0.4255770646,0.4255770646
18.3,0.5009741682,0.4218053801,0.4218053801
18.4,0.5002855561,0.4180892649,0.4180892649
18.5,0.4996062036,0.4144279039,0.4144279039
18.6,0.4989359862,0.4108204941,0.4108204941
18.7,0.4982747812,0.4072662439,0.4072662439
18.8,0.4976224672,0.4037643738,0.4037643738
18.9,0.4969789249,0.4003141152,0.4003141152
19,0.4963440362,0.3969147112,0.3969147112
19.1,0.4957176847,0.3935654156,0.3935654156
19.2,0.4950997557,0.3902654935,0.3902654935
19.3,0.4944901358,0.3870142204,0.3870142204
19.4,0.4938887135,0.3838108828,0.3838108828
19.5,0.4932953784,0.3806547774,0.3806547774
19.6,0.4927100217,0.3775452111,0.3775452111
19.7,0.4921325363,0.3744815013,0.3744815013
19.8,0.4915628163,0.3714629751,0.3714629751
19.9,0.4910007571,0.3684889695,0.3684889695
20,0.4904462559,0.3655588314,0.3655588314
20.1,0.489899211,0.3626719171,0.3626719171
20.2,0.4893595222,0.3598275922,0.3598275922
20.3,0.4888270904,0.3570252319,0.3570252319
20.4,0.4883018182,0.3542642204,0.3542642204
20.5,0.4877836092,0.3515439508,0.3515439508
20.6,0.4872723685,0.3488638252,0.3488638252
20.7,0.4867680024,0.3462232544,0.3462232544
20.8,0.4862704185,0.343621658,0.343621658
20.9,0.4857795254,0.3410584639,0.3410584639
21,0.4852952334,0.3385331085,0.3385331085
21.1,0.4848174535,0.3360450362,0.3360450362
21.2,0.4843460983,0.3335936999,0.3335936999
21.3,0.4838810813,0.3311785602,0.3311785602
21.4,0.4834223173,0.3287990858,0.3287990858
21.5,0.4829697223,0.3264547531,0.3264547531
21.6,0.4825232132,0.3241450461,0.3241450461
21.7,0.4820827083,0.3218694565,0.3218694565
21.8,0.4816481268,0.3196274833,0.3196274833
21.9,0.481219389,0.3174186329,0.3174186329
22,0.4807964164,0.3152424188,0.3152424188
22.1,0.4803791315,0.313098362,0.313098362
22.2,0.4799674577,0.31098599,0.31098599
22.3,0.4795613196,0.3089048375,0.3089048375
22.4,0.4791606428,0.306854446,0.306854446
22.5,0.4787653539,0.3048343637,0.3048343637
22.6,0.4783753804,0.3028441454,0.3028441454
22.7,0.4779906507,0.3008833523,0.3008833523
22.8,0.4776110945,0.2989515522,0.2989515522
22.9,0.4772366421,0.2970483191,0.2970483191
23,0.4768672249,0.2951732334,0.2951732334
23.1,0.4765027752,0.2933258814,0.2933258814
23.2,0.4761432263,0.2915058556,0.2915058556
23.3,0.4757885121,0.2897127545,0.2897127545
23.4,0.4754385677,0.2879461825,0.2879461825
23.5,0.4750933289,0.2862057495,0.2862057495
23.6,0.4747527326,0.2844910714,0.2844910714
23.7,0.4744167161,0.2828017697,0.2828017697
23.8,0.4740852181,0.2811374713,0.2811374713
23.9,0.4737581776,0.2794978087,0.2794978087
24,0.4734355348,0.2778824198,0.2778824198
24.1,0.4731172306,0.2762909475,0.2762909475
24.2,0.4728032065,0.2747230404,0.2747230404
24.3,0.4724934051,0.2731783518,0.2731783518
24.4,0.4721877695,0.2716565403,0.2716565403
24.5,0.4718862437,0.2701572695,0.2701572695
24.6,0.4715887726,0.2686802079,0.2686802079
24.7,0.4712953014,0.2672250288,0.2672250288
24.8,0.4710057766,0.2657914104,0.2657914104
24.9,0.4707201449,0.2643790355,0.2643790355
25,0.4704383541,0.2629875915,0.2629875915
25.1,0.4701603525,0.2616167705,0.2616167705
25.2,0.4698860891,0.2602662691,0.2602662691
25.3,0.4696155137,0.2589357882,0.2589357882
25.4,0.4693485767,0.2576250334,0.2576250334
25.5,0.4690852292,0.2563337141,0.2563337141
25.6,0.4688254228,0.2550615445,0.2550615445
25.7,0.46856911,0.2538082426,0.2538082426
25.8,0.4683162439,0.2525735307,0.2525735307
25.9,0.468066778,0.2513571351,0.2513571351
26,0.4678206666,0.2501587862,0.2501587862
26.1,0.4675778646,0.2489782182,0.2489782182
26.2,0.4673383276,0.2478151694,0.2478151694
26.3,0.4671020115,0.2466693817,0.2466693817
26.4,0.4668688732,0.2455406009,0.2455406009
26.5,0.4666388699,0.2444285766,0.2444285766
26.6,0.4664119594,0.2433330618,0.2433330618
26.7,0.4661881001,0.2422538136,0.2422538136
26.8,0.465967251,0.241190592,0.241190592
26.9,0.4657493716,0.2401431612,0.2401431612
27,0.4655344221,0.2391112883,0.2391112883
27.1,0.4653223629,0.2380947442,0.2380947442
27.2,0.4651131552,0.2370933029,0.2370933029
27.3,0.4649067608,0.2361067418,0.2361067418
27.4,0.4647031417,0.2351348416,0.2351348416
27.5,0.4645022606,0.2341773862,0.2341773862
27.6,0.4643040808,0.2332341627,0.2332341627
27.7,0.4641085658,0.2323049612,0.2323049612
27.8,0.4639156799,0.2313895749,0.2313895749
27.9,0.4637253877,0.2304878002,0.2304878002
28,0.4635376544,0.2295994363,0.2295994363
28.1,0.4633524454,0.2287242853,0.2287242853
28.2,0.463169727,0.2278621525,0.2278621525
28.3,0.4629894655,0.2270128458,0.2270128458
28.4,0.462811628,0.226176176,0.226176176
28.5,0.4626361818,0.2253519565,0.2253519565
28.6,0.4624630948,0.2245400037,0.2245400037
28.7,0.4622923353,0.2237401366,0.2237401366
28.8,0.462123872,0.2229521768,0.2229521768
28.9,0.461957674,0.2221759486,0.2221759486
29,0.4617937108,0.2214112788,0.2214112788
29.1,0.4616319524,0.2206579967,0.2206579967
29.2,0.4614723692,0.2199159342,0.2199159342
29.3,0.4613149318,0.2191849257,0.2191849257
29.4,0.4611596115,0.2184648079,0.2184648079
29.5,0.4610063798,0.21775542,0.21775542
29.6,0.4608552085,0.2170566035,0.2170566035
29.7,0.46070607,0.2163682023,0.2163682023
29.8,0.460558937,0.2156900625,0.2156900625
29.9,0.4604137824,0.2150220324,0.2150220324
30,0.4602705797,0.2143639627,0.2143639627
30.1,0.4601293026,0.2137157063,0.2137157063
30.2,0.4599899253,0.2130771181,0.2130771181
30.3,0.4598524221,0.2124480551,0.2124480551
30.4,0.459716768,0.2118283766,0.2118283766
30.5,0.4595829379,0.2112179439,0.2112179439
30.6,0.4594509075,0.2106166203,0.2106166203
30.7,0.4593206524,0.210024271,0.210024271
30.8,0.4591921489,0.2094407634,0.2094407634
30.9,0.4590653733,0.2088659666,0.2088659666
31,0.4589403025,0.2082997519,0.2082997519
31.1,0.4588169134,0.2077419923,0.2077419923
