t,D_L1,D_KL,D_e
0,1.053600287,3.925754687,3.925754687
0.1,1.045528457,3.869950745,3.869950745
0.2,1.037565167,3.814995697,3.814995697
0.3,1.029708959,3.760875734,3.760875734
0.4,1.021958392,3.707577317,3.707577317
0.5,1.014312045,3.655087168,3.655087168
0.6,1.006768518,3.603392262,3.603392262
0.7,0.999326428,3.552479821,3.552479821
0.8,0.9919844103,3.502337309,3.502337309
0.9,0.9847411196,3.452952423,3.452952423
1,0.9775952284,3.404313086,3.404313086
1.1,0.9705454269,3.356407446,3.356407446
1.2,0.9635904231,3.309223865,3.309223865
1.3,0.9567289421,3.262750916,3.262750916
1.4,0.9499597265,3.216977381,3.216977381
1.5,0.9432815355,3.171892238,3.171892238
1.6,0.9366931452,3.127484665,3.127484665
1.7,0.930193348,3.083744029,3.083744029
1.8,0.9237809526,3.040659885,3.040659885
1.9,0.9174547837,2.998221972,2.998221972
2,0.9112136819,2.956420205,2.956420205
2.1,0.9050565032,2.915244676,2.915244676
2.2,0.8989821192,2.874685646,2.874685646
2.3,0.8929894166,2.834733545,2.834733545
2.4,0.8870772969,2.795378965,2.795378965
2.5,0.8812446767,2.756612658,2.756612658
2.6,0.8754904868,2.718425533,2.718425533
2.7,0.8698136726,2.680808654,2.680808654
2.8,0.8642131938,2.643753232,2.643753232
2.9,0.8586880237,2.607250626,2.607250626
3,0.8532371498,2.571292342,2.571292342
3.1,0.847859573,2.535870024,2.535870024
3.2,0.8425543077,2.500975454,2.500975454
3.3,0.8373203814,2.466600553,2.466600553
3.4,0.832156835,2.432737372,2.432737372
3.5,0.8270627221,2.399378094,2.399378094
3.6,0.8220371089,2.366515028,2.366515028
3.7,0.8170790745,2.334140611,2.334140611
3.8,0.8121877099,2.302247401,2.302247401
3.9,0.8073621188,2.270828077,2.270828077
4,0.8026014168,2.239875437,2.239875437
4.1,0.7979047312,2.209382395,2.209382395
4.2,0.7932712012,2.179341979,2.179341979
4.3,0.7886999776,2.149747329,2.149747329
4.4,0.7841902226,2.120591694,2.120591694
4.5,0.7797411096,2.091868432,2.091868432
4.6,0.7753518231,2.063571007,2.063571007
4.7,0.7710215588,2.035692986,2.035692986
4.8,0.7667495228,2.008228039,2.008228039
4.9,0.7625349323,1.981169936,1.981169936
5,0.7583770148,1.954512544,1.954512544
5.1,0.7542750081,1.928249831,1.928249831
5.2,0.7502281606,1.902375855,1.902375855
5.3,0.7462357304,1.87688477,1.87688477
5.4,0.7422969858,1.851770823,1.851770823
5.5,0.738411205,1.827028348,1.827028348
5.6,0.7345776756,1.80265177,1.80265177
5.7,0.7307956952,1.7786356,1.7786356
5.8,0.7270645705,1.754974435,1.754974435
5.9,0.7233836176,1.731662957,1.731662957
6,0.719752162,1.708695929,1.708695929
6.1,0.7161695381,1.686068196,1.686068196
6.2,0.7126350891,1.663774683,1.663774683
6.3,0.7091481674,1.641810394,1.641810394
6.4,0.7057081338,1.620170409,1.620170409
6.5,0.7023143578,1.598849885,1.598849885
6.6,0.6989662174,1.577844054,1.577844054
6.7,0.695663099,1.557148221,1.557148221
6.8,0.6924043971,1.536757762,1.536757762
6.9,0.6891895145,1.516668126,1.516668126
7,0.6860178619,1.49687483,1.49687483
7.1,0.6828888581,1.477373462,1.477373462
7.2,0.6798019295,1.458159675,1.458159675
7.3,0.6767565104,1.439229191,1.439229191
7.4,0.6737520426,1.420577795,1.420577795
7.5,0.6707879754,1.402201338,1.402201338
7.6,0.6678637656,1.384095733,1.384095733
7.7,0.6649788773,1.366256957,1.366256957
7.8,0.6621327815,1.348681046,1.348681046
