t,D_L1,D_KL,D_e
0,1.036720301,3.752609683,3.752609683
0.1,1.029004156,3.699528135,3.699528135
0.2,1.021391768,3.647251735,3.647251735
0.3,1.013881742,3.595767501,3.595767501
0.4,1.006472703,3.545062696,3.545062696
0.5,0.9991632926,3.495124826,3.495124826
0.6,0.9919521704,3.445941628,3.445941628
0.7,0.9848380151,3.397501066,3.397501066
0.8,0.9778195227,3.349791329,3.349791329
0.9,0.970895407,3.302800817,3.302800817
1,0.9640643988,3.256518145,3.256518145
1.1,0.9573252462,3.21093213,3.21093213
1.2,0.950676714,3.166031791,3.166031791
1.3,0.9441175836,3.121806344,3.121806344
1.4,0.9376466529,3.078245193,3.078245193
1.5,0.9312627358,3.035337931,3.035337931
1.6,0.9249646623,2.993074331,2.993074331
1.7,0.918751278,2.951444348,2.951444348
1.8,0.9126214443,2.910438107,2.910438107
1.9,0.9065740374,2.870045906,2.870045906
2,0.9006079492,2.830258208,2.830258208
2.1,0.8947220861,2.791065642,2.791065642
2.2,0.8889153693,2.752458992,2.752458992
2.3,0.8831867345,2.714429201,2.714429201
2.4,0.8775351319,2.676967366,2.676967366
2.5,0.8719595255,2.640064732,2.640064732
2.6,0.8664588935,2.603712689,2.603712689
2.7,0.8610322277,2.567902775,2.567902775
2.8,0.8556785334,2.532626666,2.532626666
2.9,0.8503968295,2.497876175,2.497876175
3,0.8451861478,2.463643252,2.463643252
3.1,0.8400455335,2.429919981,2.429919981
3.2,0.8349740442,2.396698571,2.396698571
3.3,0.8299707504,2.363971365,2.363971365
3.4,0.8250347353,2.331730825,2.331730825
3.5,0.820165094,2.299969539,2.299969539
3.6,0.815360934,2.268680214,2.268680214
3.7,0.8106213748,2.237855677,2.237855677
3.8,0.8059455478,2.207488867,2.207488867
3.9,0.801332596,2.177572841,2.177572841
4,0.7967816738,2.148100765,2.148100765
4.1,0.7922919473,2.119065915,2.119065915
4.2,0.7878625934,2.090461674,2.090461674
4.3,0.7834928003,2.062281531,2.062281531
4.4,0.7791817673,2.034519079,2.034519079
4.5,0.774928704,2.007168012,2.007168012
4.6,0.7707328311,1.980222126,1.980222126
4.7,0.7665933794,1.953675312,1.953675312
4.8,0.7625095904,1.927521559,1.927521559
4.9,0.7584807154,1.901754951,1.901754951
5,0.7545060162,1.876369666,1.876369666
5.1,0.7505847641,1.851359971,1.851359971
5.2,0.7467162405,1.826720224,1.826720224
5.3,0.7428997364,1.802444872,1.802444872
5.4,0.7391345522,1.778528448,1.778528448
5.5,0.735419998,1.75496557,1.75496557
