t,D_L1,D_KL,D_e
0,0.9811343209,3.203416785,3.203416785
0.1,0.9745554237,3.158922829,3.158922829
0.2,0.9680649919,3.115098071,3.115098071
0.3,0.961661836,3.071931988,3.071931988
0.4,0.9553447824,3.029414241,3.029414241
0.5,0.9491126733,2.987534675,2.987534675
0.6,0.9429643664,2.946283312,2.946283312
0.7,0.9368987349,2.905650348,2.905650348
0.8,0.9309146671,2.865626149,2.865626149
0.9,0.9250110661,2.826201247,2.826201247
1,0.91918685,2.787366335,2.787366335
1.1,0.9134409512,2.749112268,2.749112268
1.2,0.9077723167,2.711430055,2.711430055
1.3,0.9021799075,2.674310858,2.674310858
1.4,0.8966626986,2.637745986,2.637745986
1.5,0.8912196788,2.601726897,2.601726897
1.6,0.8858498504,2.566245189,2.566245189
1.7,0.8805522293,2.531292605,2.531292605
1.8,0.8753258446,2.496861019,2.496861019
1.9,0.8701697383,2.462942445,2.462942445
2,0.8650829654,2.429529025,2.429529025
2.1,0.8600645935,2.396613034,2.396613034
2.2,0.855113703,2.36418687,2.36418687
2.3,0.8502293864,2.332243058,2.332243058
2.4,0.8454107484,2.300774244,2.300774244
2.5,0.840656906,2.269773194,2.269773194
2.6,0.8359669877,2.239232791,2.239232791
2.7,0.8313401341,2.209146033,2.209146033
2.8,0.8267754971,2.179506032,2.179506032
2.9,0.8222722402,2.150306008,2.150306008
3,0.8178295378,2.121539295,2.121539295
3.1,0.8134465758,2.093199328,2.093199328
3.2,0.8091225509,2.065279651,2.065279651
3.3,0.8048566704,2.03777391,2.03777391
3.4,0.8006481527,2.010675851,2.010675851
3.5,0.7964962262,1.98397932,1.98397932
3.6,0.7924001301,1.957678262,1.957678262
3.7,0.7883591136,1.931766714,1.931766714
3.8,0.784372436,1.906238812,1.906238812
3.9,0.7804393667,1.88108878,1.88108878
4,0.7765591848,1.856310936,1.856310936
4.1,0.7727311791,1.831899686,1.831899686
4.2,0.7689546481,1.807849522,1.807849522
4.3,0.7652288995,1.784155026,1.784155026
4.4,0.7615532505,1.76081086,1.76081086
4.5,0.7579270274,1.737811775,1.737811775
4.6,0.7543495656,1.715152597,1.715152597
4.7,0.7508202094,1.692828238,1.692828238
4.8,0.7473383119,1.670833687,1.670833687
4.9,0.743903235,1.64916401,1.64916401
5,0.740514349,1.627814349,1.627814349
