t,D_L1,D_KL,D_e
0,1.025371212,3.637835511,3.637835511
0.1,1.01789158,3.586554679,3.586554679
0.2,1.010512525,3.536050238,3.536050238
0.3,1.003232695,3.486309739,3.486309739
0.4,0.9960507559,3.437320966,3.437320966
0.5,0.9889653914,3.389071929,3.389071929
0.6,0.9819753028,3.341550859,3.341550859
0.7,0.9750792088,3.294746202,3.294746202
0.8,0.9682758456,3.248646615,3.248646615
0.9,0.9615639662,3.203240959,3.203240959
1,0.9549423404,3.158518293,3.158518293
1.1,0.9484097547,3.114467874,3.114467874
1.2,0.9419650117,3.071079147,3.071079147
1.3,0.9356069302,3.028341744,3.028341744
1.4,0.9293343449,2.986245479,2.986245479
1.5,0.9231461061,2.944780342,2.944780342
1.6,0.9170410796,2.903936499,2.903936499
1.7,0.9110181465,2.863704284,2.863704284
1.8,0.9050762029,2.824074196,2.824074196
1.9,0.8992141597,2.7850369,2.7850369
2,0.8934309426,2.746583217,2.746583217
2.1,0.8877254915,2.708704124,2.708704124
2.2,0.8820967608,2.671390752,2.671390752
2.3,0.8765437188,2.634634379,2.634634379
2.4,0.8710653477,2.598426431,2.598426431
2.5,0.8656606435,2.562758476,2.562758476
2.6,0.8603286155,2.527622222,2.527622222
2.7,0.8550682865,2.493009515,2.493009515
2.8,0.8498786924,2.458912338,2.458912338
2.9,0.844758882,2.425322801,2.425322801
3,0.8397079169,2.392233148,2.392233148
3.1,0.8347248714,2.359635748,2.359635748
3.2,0.8298088322,2.327523094,2.327523094
3.3,0.8249588982,2.295887803,2.295887803
3.4,0.8201741805,2.264722611,2.264722611
3.5,0.8154538023,2.234020371,2.234020371
3.6,0.8107968983,2.203774052,2.203774052
3.7,0.806202615,2.173976735,2.173976735
3.8,0.8016701103,2.144621615,2.144621615
3.9,0.7971985535,2.115701992,2.115701992
4,0.7927871251,2.087211277,2.087211277
4.1,0.7884350166,2.059142985,2.059142985
4.2,0.7841414302,2.031490731,2.031490731
4.3,0.779905579,2.004248237,2.004248237
4.4,0.7757266867,1.977409321,1.977409321
4.5,0.7716039873,1.950967898,1.950967898
4.6,0.7675367252,1.924917982,1.924917982
4.7,0.763524155,1.899253679,1.899253679
4.8,0.7595655413,1.87396919,1.87396919
4.9,0.7556601584,1.849058804,1.849058804
5,0.7518072907,1.824516902,1.824516902
5.1,0.7480062319,1.800337953,1.800337953
5.2,0.7442562854,1.776516511,1.776516511
5.3,0.7405567638,1.753047215,1.753047215
5.4,0.7369069892,1.729924789,1.729924789
5.5,0.7333062925,1.707144037,1.707144037
5.6,0.7297540139,1.684699846,1.684699846
5.7,0.7262495022,1.662587181,1.662587181
5.8,0.7227921152,1.640801084,1.640801084
5.9,0.7193812192,1.619336677,1.619336677
6,0.716016189,1.598189153,1.598189153
6.1,0.7126964078,1.577353782,1.577353782
6.2,0.7094212672,1.556825906,1.556825906
6.3,0.706190167,1.53660094,1.53660094
6.4,0.7030025149,1.516674366,1.516674366
6.5,0.6998577267,1.49704174,1.49704174
6.6,0.696755226,1.477698683,1.477698683
6.7,0.6936944441,1.458640883,1.458640883
6.8,0.6906748202,1.439864096,1.439864096
6.9,0.6876958006,1.42136414,1.42136414
7,0.6847568395,1.403136901,1.403136901
7.1,0.6818573982,1.385178324,1.385178324
7.2,0.6789969453,1.367484416,1.367484416
7.3,0.6761749564,1.350051248,1.350051248
7.4,0.6733909144,1.332874947,1.332874947
7.5,0.670644309,1.315951701,1.315951701
7.6,0.6679346367,1.299277756,1.299277756
7.7,0.6652614011,1.282849413,1.282849413
7.8,0.662624112,1.266663032,1.266663032
7.9,0.6600222862,1.250715025,1.250715025
8,0.6574554468,1.23500186,1.23500186
8.1,0.6549231232,1.219520058,1.219520058
8.2,0.6524248515,1.204266194,1.204266194
8.3,0.6499601736,1.189236892,1.189236892
8.4,0.6475286379,1.174428829,1.174428829
8.5,0.6451297987,1.159838732,1.159838732
8.6,0.6427632163,1.145463375,1.145463375
8.7,0.640428457,1.131299584,1.131299584
8.8,0.6381250929,1.117344229,1.117344229
8.9,0.6358527018,1.103594232,1.103594232
9,0.6336108671,1.090046556,1.090046556
9.1,0.6313991781,1.076698212,1.076698212
9.2,0.6292172294,1.063546257,1.063546257
9.3,0.627064621,1.05058779,1.05058779
9.4,0.6249409584,1.037819955,1.037819955
9.5,0.6228458523,1.025239938,1.025239938
9.6,0.6207789189,1.012844966,1.012844966
9.7,0.6187397792,1.000632311,1.000632311
9.8,0.6167280595,0.9885992814,0.9885992814
9.9,0.6147433911,0.9767432291,0.9767432291
10,0.6127854102,0.9650615442,0.9650615442
10.1,0.6108537581,0.953551656,0.953551656
10.2,0.6089480805,0.942211032,0.942211032
10.3,0.6070680283,0.9310371778,0.9310371778
10.4,0.605213257,0.920027636,0.920027636
