t,p_1,QFI,trace_distance
2.22,0.2685623776,0.1966630876,0.0003790437604
2.24,0.2685784323,0.1966876718,0.0003629890225
2.26,0.2685938071,0.1967100827,0.0003476142975
2.28,0.2686085306,0.1967304602,0.0003328907827
2.3,0.2686226305,0.1967489362,0.0003187908956
2.32,0.2686361331,0.1967656351,0.0003052882218
2.34,0.2686490639,0.1967806742,0.0002923574658
2.36,0.268661447,0.196794164,0.0002799744036
2.38,0.2686733055,0.1968062087,0.0002681158371
2.4,0.2686846618,0.1968169065,0.0002567595507
2.42,0.2686955371,0.1968263499,0.0002458842701
2.44,0.2687059517,0.1968346258,0.0002354696217
2.46,0.2687159253,0.1968418162,0.000225496095
2.48,0.2687254764,0.1968479982,0.000215945006
2.5,0.2687346229,0.1968532443,0.000206798462
2.52,0.268743382,0.1968576226,0.000198039328
2.54,0.2687517702,0.1968611973,0.0001896511949
2.56,0.268759803,0.1968640286,0.0001816183488
2.58,0.2687674956,0.196866173,0.000173925741
2.6,0.2687748624,0.1968676837,0.0001665589605
2.62,0.2687819172,0.1968686104,0.0001595042066
2.64,0.2687886731,0.196869,0.0001527482631
2.66,0.2687951429,0.1968688963,0.0001462784737
2.68,0.2688013387,0.1968683404,0.000140082718
2.7,0.268807272,0.1968673707,0.000134149389
2.72,0.268812954,0.1968660234,0.0001284673716
2.74,0.2688183953,0.1968643322,0.000123026021
2.76,0.2688236062,0.1968623286,0.0001178151438
2.78,0.2688285964,0.1968600421,0.0001128249779
2.8,0.2688333752,0.1968575004,0.0001080461749
2.82,0.2688379516,0.196854729,0.0001034697824
2.84,0.2688423341,0.1968517522,9.908722716e-05
2.86,0.2688465311,0.1968485922,9.489029894e-05
2.88,0.2688505502,0.1968452699,9.087113537e-05
2.9,0.2688543992,0.1968418047,8.702220707e-05
2.92,0.2688580851,0.1968382147,8.333630358e-05
2.94,0.2688616149,0.1968345168,7.980651983e-05
2.96,0.2688649951,0.1968307264,7.642624323e-05
2.98,0.2688682322,0.1968268581,7.318914127e-05
3,0.2688713322,0.1968229253,7.008914967e-05
3.02,0.2688743009,0.1968189403,6.712046098e-05
3.04,0.2688771439,0.1968149147,6.427751376e-05
3.06,0.2688798664,0.196810859,6.155498212e-05
3.08,0.2688824736,0.1968067831,5.894776574e-05
3.1,0.2688849704,0.1968026959,5.645098035e-05
3.12,0.2688873614,0.1967986057,5.405994853e-05
3.14,0.2688896512,0.1967945201,5.177019101e-05
3.16,0.268891844,0.196790446,4.957741822e-05
3.18,0.2688939438,0.1967863898,4.747752228e-05
