t,p_1,QFI,trace_distance
2.24,0.2701070389,0.1836132383,0.00116561752
2.26,0.2700576681,0.1840745724,0.001116246746
2.28,0.2700103885,0.1845203335,0.001068967116
2.3,0.2699651114,0.184951001,0.001023690057
2.32,0.2699217521,0.1853670425,0.0009803307477
2.34,0.2698802293,0.1857689135,0.0009388079612
2.36,0.2698404653,0.1861570582,0.0008990439095
2.38,0.2698023855,0.186531909,0.0008609640997
2.4,0.2697659186,0.1868938868,0.0008244971945
2.42,0.2697309962,0.1872434014,0.0007895748776
2.44,0.2696975531,0.1875808515,0.0007561317268
2.46,0.2696655265,0.1879066247,0.0007241050905
2.48,0.2696348563,0.1882210983,0.0006934349711
2.5,0.2696054853,0.1885246385,0.000664063912
2.52,0.2695773583,0.1888176014,0.0006359368905
2.54,0.2695504226,0.189100333,0.0006090012141
2.56,0.2695246278,0.1893731693,0.0005832064225
2.58,0.2694999256,0.1896364364,0.0005585041923
2.6,0.2694762696,0.1898904509,0.0005348482472
2.62,0.2694536156,0.1901355202,0.0005121942708
2.64,0.2694319212,0.1903719423,0.0004904998239
2.66,0.2694111456,0.1906000063,0.0004697242647
2.68,0.26939125,0.1908199928,0.0004498286729
2.7,0.2693721971,0.1910321737,0.0004307757767
2.72,0.2693539513,0.1912368124,0.000412529883
2.74,0.2693364782,0.1914341644,0.0003950568105
2.76,0.2693197452,0.1916244773,0.0003783238256
2.78,0.269303721,0.1918079909,0.0003622995812
2.8,0.2692883754,0.1919849375,0.0003469540581
2.82,0.2692736799,0.1921555419,0.0003322585083
2.84,0.2692596068,0.1923200221,0.0003181854017
2.86,0.2692461297,0.1924785889,0.0003047083742
2.88,0.2692332235,0.1926314464,0.0002918021782
2.9,0.269220864,0.1927787923,0.0002794426357
2.92,0.269209028,0.1929208176,0.0002676065926
2.94,0.2691976932,0.1930577074,0.0002562718758
2.96,0.2691868386,0.1931896406,0.0002454172511
2.98,0.2691764438,0.1933167903,0.0002350223837
3,0.2691664892,0.193439324,0.0002250678002
3.02,0.2691569562,0.1935574034,0.000215534852
