t,p_1,QFI,trace_distance
0,0.4750208125,0,0.2060793912
0.02,0.4662921354,4.513648269e-06,0.197350714
0.04,0.4579331692,2.286988564e-05,0.1889917478
0.06,0.4499282545,6.285751839e-05,0.1809868332
0.08,0.4422623952,0.0001327323589,0.1733209738
0.1,0.4349212302,0.0002409167394,0.1659798088
0.12,0.4278910067,0.0003957587295,0.1589495854
0.14,0.4211585547,0.0006053406503,0.1522171334
0.16,0.4147112618,0.0008773285831,0.1457698404
0.18,0.4085370497,0.001218856171,0.1395956283
0.2,0.4026243519,0.001636437245,0.1336829305
0.22,0.3969620917,0.002135902761,0.1280206703
0.24,0.3915396615,0.002722358268,0.1225982402
0.26,0.3863469033,0.00340015874,0.1174054819
0.28,0.381374089,0.004172898051,0.1124326676
0.3,0.3766119027,0.005043410759,0.1076704813
0.32,0.3720514231,0.006013784194,0.1031100017
0.34,0.3676841066,0.007085379071,0.09874268527
0.36,0.3635017718,0.008258857096,0.09456035043
0.38,0.3594965835,0.009534214201,0.09055516212
0.4,0.3556610385,0.01091081821,0.08671961716
0.42,0.3519879515,0.01238744989,0.08304653013
0.44,0.3484704414,0.01396234642,0.07952902
0.46,0.3451019185,0.0156332465,0.07616049715
0.48,0.3418760725,0.01739743636,0.07293465111
0.5,0.33878686,0.01925179606,0.06984543866
0.52,0.3358284939,0.02119284548,0.06688707257
0.54,0.3329954321,0.02321678959,0.06405401073
0.56,0.3302823671,0.02531956266,0.06134094575
0.58,0.3276842164,0.02749687086,0.05874279508
0.6,0.3251961128,0.02974423328,0.0562546914
0.62,0.3228133949,0.0320570209,0.05387197358
0.64,0.3205315993,0.03443049346,0.0515901779
0.66,0.3183464511,0.03685983409,0.04940502973
0.68,0.3162538568,0.0393401816,0.04731243546
0.7,0.3142498963,0.04186666038,0.0453084749
0.72,0.3123308152,0.04443440788,0.04338939388
0.74,0.3104930186,0.0470385997,0.04155159725
0.76,0.3087330635,0.04967447229,0.03979164215
0.78,0.3070476529,0.05233734339,0.03810623152
0.8,0.3054336293,0.05502263011,0.03649220797
0.82,0.3038879692,0.05772586494,0.03494654783
0.84,0.3024077769,0.0604427096,0.03346635551
0.86,0.3009902794,0.06316896699,0.03204885806
0.88,0.2996328213,0.06590059118,0.03069139998
0.9,0.2983328596,0.06863369572,0.02939143826
0.92,0.2970879589,0.07136456026,0.02814653757
0.94,0.2958957871,0.07408963567,0.02695436577
0.96,0.2947541108,0.07680554774,0.02581268948
0.98,0.2936607913,0.07950909957,0.02471936991
1,0.2926137802,0.08219727284,0.02367235886
1.02,0.2916111163,0.08486722792,0.02266969491
1.04,0.2906509211,0.08751630309,0.02170949968
1.06,0.2897313958,0.0901420129,0.02078997439
1.08,0.2888508178,0.09274204568,0.01990939641
1.1,0.2880075375,0.09531426049,0.0190661161
1.12,0.2871999751,0.09785668341,0.01825855368
1.14,0.2864266177,0.1003675034,0.01748519629
1.16,0.2856860165,0.1028450675,0.01674459515
1.18,0.2849767842,0.1052878762,0.01603536283
1.2,0.2842975921,0.1076945777,0.01535617068
1.22,0.2836471677,0.1100639631,0.01470574632
1.24,0.2830242926,0.1123949598,0.01408287127
1.26,0.2824278,0.1146866266,0.01348637865
1.28,0.2818565724,0.1169381472,0.01291515101
1.3,0.2813095396,0.1191488247,0.01236811822
1.32,0.2807856769,0.1213180752,0.0118442555
1.34,0.2802840028,0.1234454225,0.01134258146
1.36,0.2798035776,0.1255304915,0.01086215626
1.38,0.2793435013,0.1275730033,0.01040207991
1.4,0.2789029119,0.1295727689,0.009961490503
1.42,0.278480984,0.1315296836,0.009539562654
1.44,0.2780769273,0.1334437223,0.009135505937
1.46,0.2776899848,0.1353149334,0.008748563403
1.48,0.2773194315,0.1371434343,0.008378010168
1.5,0.2769645734,0.1389294061,0.008023152046
1.52,0.2766247456,0.1406730893,0.007683324258
1.54,0.2762993116,0.1423747785,0.00735789018
1.56,0.2759876615,0.1440348188,0.007046240154
1.58,0.2756892117,0.1456536011,0.006747790344
1.6,0.275403403,0.1472315582,0.006461981642
1.62,0.2751297,0.1487691611,0.006188278624
1.64,0.2748675899,0.1502669152,0.005926168543
1.66,0.2746165817,0.1517253569,0.005675160368
1.68,0.2743762052,0.1531450504,0.00543478387
1.7,0.2741460101,0.1545265844,0.005204588733
1.72,0.2739255651,0.1558705694,0.004984143718
1.74,0.2737144572,0.1571776348,0.004773035848
1.76,0.273512291,0.1584484263,0.004570869641
1.78,0.2733186877,0.1596836036,0.004377266365
1.8,0.2731332847,0.1608838379,0.004191863329
1.82,0.2729557346,0.1620498101,0.004014313205
1.84,0.2727857047,0.1631822082,0.003844283375
1.86,0.2726228767,0.1642817262,0.003681455311
1.88,0.2724669453,0.1653490618,0.003525523975
1.9,0.2723176186,0.166384915,0.003376197251
1.92,0.2721746168,0.1673899868,0.003233195393
1.94,0.2720376719,0.1683649773,0.003096250508
1.96,0.2719065274,0.1693105851,0.002965106045
1.98,0.2717809377,0.1702275055,0.002839516324
2,0.2716606674,0.1711164301,0.002719246068
2.02,0.2715454913,0.1719780452,0.002604069966
2.04,0.2714351936,0.1728130314,0.002493772251
2.06,0.2713295677,0.1736220624,0.002388146295
2.08,0.2712284156,0.1744058045,0.00228699422
2.1,0.2711315479,0.1751649161,0.002190126533
2.12,0.2710387831,0.1759000468,0.002097361763
2.14,0.2709499475,0.176611837,0.002008526127
2.16,0.2708648746,0.1773009175,0.001923453205
2.18,0.270783405,0.177967909,0.001841983622
2.2,0.2707053861,0.1786134219,0.001763964757
2.22,0.2706306718,0.1792380558,0.00168925045
2.24,0.2705591221,0.1798423994,0.001617700735
2.26,0.2704906029,0.1804270302,0.001549181572
2.28,0.270424986,0.1809925146,0.0014835646
2.3,0.2703621483,0.1815394071,0.001420726893
2.32,0.2703019721,0.1820682511,0.001360550733
2.34,0.2702443448,0.1825795779,0.001302923389
2.36,0.2701891583,0.1830739075,0.001247736902
2.38,0.2701363093,0.183551748,0.001194887888
2.4,0.2700856987,0.1840135959,0.001144277342
2.42,0.2700372318,0.1844599359,0.001095810451
2.44,0.2699908178,0.1848912413,0.001049396418
2.46,0.2699463697,0.1853079737,0.001004948293
2.48,0.2699038042,0.1857105833,0.0009623828085
2.5,0.2698630416,0.186099509,0.0009216202231
2.52,0.2698240055,0.1864751785,0.0008825841734
2.54,0.2697866229,0.1868380082,0.0008452015305
2.56,0.2697508236,0.1871884038,0.000809402263
2.58,0.2697165407,0.18752676,0.0007751193054
2.6,0.2696837098,0.187853461,0.0007422884333
2.62,0.2696522695,0.1881688803,0.0007108481421
2.64,0.2696221609,0.1884733813,0.0006807395326
2.66,0.2695933276,0.1887673172,0.0006519062002
2.68,0.2695657155,0.1890510311,0.0006242941295
2.7,0.269539273,0.1893248566,0.0005978515927
