t,p_1,QFI,trace_distance
0,0.3392436312,0,0.07030220986
0.02,0.3362659182,0.0001532445604,0.06732449682
0.04,0.3334143289,0.0006006480918,0.06447290748
0.06,0.3306835211,0.001323992654,0.06174209976
0.08,0.3280683792,0.002305458553,0.05912695785
0.1,0.325564004,0.003527657291,0.05662258261
0.12,0.3231657038,0.004973661115,0.05422428243
0.14,0.3208689858,0.006627029097,0.0519275644
0.16,0.3186695473,0.008471829709,0.04972812592
0.18,0.316563268,0.01049265992,0.04762184662
0.2,0.314546202,0.0126746609,0.04560478067
0.22,0.3126145707,0.01500353038,0.04367314936
0.24,0.3107647554,0.01746553184,0.04182333401
0.26,0.3089932906,0.02004750072,0.04005186926
0.28,0.3072968578,0.0227368477,0.03835543648
0.3,0.305672279,0.02552155933,0.03673085762
0.32,0.3041165106,0.02839019625,0.03517508926
0.34,0.3026266382,0.03133188897,0.03368521686
0.36,0.3011998707,0.03433633177,0.03225844935
0.38,0.2998335352,0.03739377451,0.03089211384
0.4,0.2985250721,0.04049501294,0.0295836507
0.42,0.2972720301,0.04363137739,0.02833060869
0.44,0.2960720618,0.04679472021,0.02713064039
0.46,0.2949229192,0.04997740204,0.02598149783
0.48,0.2938224496,0.05317227723,0.02488102823
0.5,0.2927685914,0.05637267831,0.02382717
0.52,0.2917593703,0.05957239994,0.02281794888
0.54,0.2907928956,0.06276568229,0.02185147423
0.56,0.2898673568,0.06594719408,0.02092593547
0.58,0.2889810201,0.06911201534,0.02003959874
0.6,0.288132225,0.07225562006,0.01919080359
0.62,0.2873193813,0.07537385877,0.01837795993
0.64,0.2865409663,0.07846294117,0.01759954498
0.66,0.2857955219,0.0815194189,0.0168541005
0.68,0.2850816513,0.08454016848,0.01614022998
0.7,0.2843980175,0.08752237459,0.01545659609
0.72,0.2837433395,0.09046351353,0.01480191812
0.74,0.283116391,0.09336133719,0.01417496963
0.76,0.2825159975,0.09621385733,0.0135745761
0.78,0.2819410341,0.09901933034,0.01299961277
0.8,0.2813904239,0.1017762424,0.01244900254
0.82,0.2808631353,0.1044832953,0.01192171389
0.84,0.2803581804,0.1071393925,0.01141675902
0.86,0.2798746133,0.1097436258,0.01093319197
0.88,0.2794115282,0.112295263,0.01047010684
0.9,0.2789680575,0.1147937352,0.01002663609
0.92,0.2785433703,0.117238625,0.00960194894
0.94,0.2781366712,0.1196296562,0.009195249796
0.96,0.2777471981,0.1219666819,0.008805776758
0.98,0.2773742216,0.1242496756,0.0084328002
1,0.2770170428,0.1264787206,0.008075621397
1.02,0.2766749926,0.1286540014,0.007733571223
1.04,0.2763474303,0.1307757952,0.00740600889
1.06,0.2760337421,0.1328444631,0.007092320752
1.08,0.2757333405,0.134860443,0.006791919157
1.1,0.2754456627,0.1368242421,0.00650424134
1.12,0.2751701697,0.1387364302,0.006228748375
1.14,0.2749063455,0.1405976329,0.005964924161
1.16,0.2746536958,0.1424085263,0.005712274457
1.18,0.2744117473,0.1441698305,0.005470325959
1.2,0.2741800468,0.1458823051,0.005238625405
1.22,0.2739581601,0.1475467437,0.005016738736
1.24,0.2737456716,0.1491639698,0.004804250275
1.26,0.2735421833,0.1507348321,0.004600761953
1.28,0.2733473139,0.152260201,0.004405892562
1.3,0.2731606984,0.1537409644,0.004219277037
1.32,0.2729819872,0.1551780246,0.004040565781
1.34,0.2728108454,0.1565722953,0.003869424
1.36,0.2726469525,0.1579246984,0.003705531082
1.38,0.2724900014,0.1592361613,0.003548579995
1.4,0.2723396981,0.1605076148,0.003398276712
1.42,0.272195761,0.1617399906,0.00325433966
1.44,0.2720579206,0.1629342193,0.00311649919
1.46,0.2719259184,0.1640912284,0.002984497076
1.48,0.2717995074,0.1652119407,0.002858086031
1.5,0.2716784506,0.166297273,0.002737029238
1.52,0.2715625213,0.1673481343,0.002621099914
1.54,0.2714515023,0.1683654246,0.002510080881
1.56,0.2713451855,0.1693500341,0.002403764157
1.58,0.2712433719,0.1703028419,0.002301950574
1.6,0.2711458708,0.1712247152,0.002204449397
1.62,0.2710524993,0.1721165084,0.002111077969
1.64,0.2709630827,0.1729790626,0.002021661372
1.66,0.2708774535,0.1738132051,0.001936032094
1.68,0.2707954511,0.1746197482,0.001854029721
1.7,0.270716922,0.1753994899,0.001775500633
1.72,0.2706417191,0.1761532125,0.001700297714
1.74,0.2705697015,0.1768816827,0.001628280082
1.76,0.2705007342,0.1775856515,0.001559312821
1.78,0.2704346881,0.178265854,0.00149326673
1.8,0.2703714395,0.1789230089,0.001430018081
1.82,0.2703108698,0.1795578188,0.001369448385
1.84,0.2702528655,0.1801709701,0.001311444173
1.86,0.2701973182,0.1807631329,0.00125589678
1.88,0.2701441235,0.1813349609,0.001202702148
1.9,0.270093182,0.1818870919,0.001151760622
1.92,0.2700443981,0.1824201475,0.001102976769
1.94,0.2699976806,0.1829347335,0.001056259201
1.96,0.2699529418,0.1834314397,0.001011520397
1.98,0.2699100979,0.1839108404,0.0009686765446
2,0.2698690688,0.1843734944,0.0009276473823
2.02,0.2698297774,0.1848199455,0.0008883560469
2.04,0.2697921503,0.1852507222,0.0008507289312
2.06,0.2697561169,0.1856663384,0.0008146955456
2.08,0.2697216098,0.1860672933,0.0007801883864
2.1,0.2696885642,0.1864540721,0.0007471428087
2.12,0.2696569183,0.1868271457,0.0007154969061
2.14,0.2696266128,0.1871869713,0.0006851913941
2.16,0.2695975909,0.1875339928,0.0006561694991
2.18,0.2695697982,0.1878686407,0.0006283768525
2.2,0.2695431828,0.1881913327,0.0006017613883
2.22,0.2695176946,0.1885024738,0.000576273246
2.24,0.269493286,0.1888024566,0.0005518646767
2.26,0.2694699113,0.1890916618,0.0005284899542
2.28,0.2694475267,0.1893704582,0.000506105289
2.3,0.2694260901,0.189639203,0.0004846687464
2.32,0.2694055615,0.1898982424,0.0004641401677
2.34,0.2693859025,0.1901479116,0.0004444810954
2.36,0.2693670761,0.1903885351,0.0004256547006
2.38,0.2693490471,0.1906204271,0.0004076257147
2.4,0.2693317817,0.1908438917,0.0003903603626
2.42,0.2693152477,0.1910592231,0.0003738262999
2.44,0.2692994139,0.191266706,0.0003579925523
2.46,0.2692842508,0.1914666158,0.0003428294572
2.48,0.26926973,0.1916592189,0.0003283086086
2.5,0.2692558242,0.1918447728,0.0003144028036
2.52,0.2692425074,0.1920235268,0.0003010859913
2.54,0.2692297546,0.1921957215,0.0002883332246
2.56,0.269217542,0.1923615898,0.0002761206127
2.58,0.2692058466,0.1925213566,0.000264425277
2.6,0.2691946467,0.1926752393,0.0002532253076
2.62,0.2691839211,0.192823448,0.000242499723
2.64,0.2691736498,0.1929661857,0.0002322284301
2.66,0.2691638136,0.1931036484,0.000222392187
2.68,0.2691543939,0.1932360254,0.0002129725668
2.7,0.2691453733,0.1933634997,0.0002039519231
2.72,0.2691367347,0.1934862479,0.0001953133568
2.74,0.2691284621,0.1936044405,0.0001870406847
2.76,0.2691205398,0.1937182422,0.000179118409
2.78,0.2691129531,0.193827812,0.0001715316885
2.8,0.2691056877,0.1939333031,0.0001642663102
2.82,0.26909873,0.1940348639,0.0001573086636
2.84,0.2690920671,0.1941326371,0.0001506457143
2.86,0.2690856864,0.1942267606,0.0001442649802
2.88,0.2690795759,0.1943173677,0.0001381545078
2.9,0.2690737242,0.1944045866,0.0001323028499
2.92,0.2690681204,0.1944885413,0.0001266990443
2.94,0.269062754,0.1945693513,0.0001213325928
2.96,0.2690576148,0.1946471319,0.0001161934422
2.98,0.2690526933,0.1947219941,0.0001112719649
3,0.2690479803,0.1947940454,0.0001065589412
3.02,0.2690434669,0.1948633891,0.0001020455419
3.04,0.2690391447,0.194930125,9.772331158e-05
3.06,0.2690350055,0.1949943491,9.358415323e-05
3.08,0.2690310417,0.1950561543,8.962031263e-05
3.1,0.2690272457,0.1951156299,8.582436405e-05
3.12,0.2690236106,0.1951728622,8.218919627e-05
3.14,0.2690201294,0.1952279342,7.870799928e-05
3.16,0.2690167956,0.195280926,7.53742515e-05
3.18,0.2690136031,0.1953319148,7.21817076e-05
3.2,0.2690105458,0.195380975,6.912438674e-05
3.22,0.2690076179,0.1954281783,6.619656146e-05
3.24,0.2690048141,0.1954735939,6.339274683e-05
3.26,0.2690021291,0.1955172883,6.070769028e-05
3.28,0.2689995577,0.1955593257,5.813636171e-05
3.3,0.2689970953,0.1955997679,5.567394406e-05
3.32,0.2689947372,0.1956386746,5.331582431e-05
3.34,0.268992479,0.1956761031,5.105758484e-05
3.36,0.2689903164,0.1957121088,4.889499512e-05
3.38,0.2689882454,0.1957467449,4.682400382e-05
3.4,0.2689862621,0.1957800628,4.484073122e-05
3.42,0.2689843628,0.1958121119,4.29414619e-05
3.44,0.268982544,0.1958429398,4.112263784e-05
3.46,0.2689808022,0.1958725924,3.938085169e-05
3.48,0.2689791342,0.1959011139,3.771284046e-05
3.5,0.2689775368,0.1959285469,3.611547934e-05
3.52,0.2689760071,0.1959549322,3.458577588e-05
3.54,0.2689745422,0.1959803095,3.312086437e-05
3.56,0.2689731394,0.1960047168,3.171800051e-05
3.58,0.2689717959,0.1960281905,3.03745562e-05
3.6,0.2689705094,0.196050766,2.908801468e-05
3.62,0.2689692773,0.1960724772,2.785596577e-05
3.64,0.2689680975,0.1960933568,2.66761014e-05
3.66,0.2689669676,0.1961134362,2.554621125e-05
3.68,0.2689658855,0.1961327457,2.44641786e-05
3.7,0.2689648493,0.1961513146,2.342797641e-05
3.72,0.268963857,0.1961691708,2.243566349e-05
3.74,0.2689629068,0.1961863414,2.148538088e-05
3.76,0.2689619967,0.1962028525,2.057534834e-05
3.78,0.2689611252,0.196218729,1.970386104e-05
3.8,0.2689602907,0.1962339951,1.886928636e-05
3.82,0.2689594914,0.196248674,1.807006084e-05
3.84,0.2689587261,0.196262788,1.730468724e-05
3.86,0.2689579931,0.1962763587,1.657173172e-05
3.88,0.2689572912,0.1962894066,1.586982118e-05
3.9,0.268956619,0.1963019519,1.51976407e-05
3.92,0.2689559753,0.1963140135,1.455393102e-05
3.94,0.2689553589,0.19632561,1.393748624e-05
3.96,0.2689547685,0.196336759,1.334715153e-05
3.98,0.2689542032,0.1963474778,1.278182098e-05
4,0.2689536618,0.1963577827,1.224043551e-05
4.02,0.2689531434,0.1963676896,1.17219809e-05
4.04,0.2689526469,0.1963772137,1.122548591e-05
4.06,0.2689521714,0.1963863696,1.07500204e-05
4.08,0.2689517161,0.1963951714,1.029469366e-05
4.1,0.26895128,0.1964036326,9.858652695e-06
4.12,0.2689508625,0.1964117665,9.441080634e-06
4.14,0.2689504626,0.1964195854,9.041195211e-06
4.16,0.2689500796,0.1964271015,8.658247293e-06
4.18,0.2689497129,0.1964343263,8.291519477e-06
4.2,0.2689493617,0.1964412712,7.940324746e-06
4.22,0.2689490254,0.1964479468,7.604005183e-06
4.24,0.2689487033,0.1964543634,7.281930735e-06
4.26,0.2689483949,0.1964605311,6.973498039e-06
4.28,0.2689480995,0.1964664594,6.678129286e-06
4.3,0.2689478166,0.1964721575,6.395271141e-06
4.32,0.2689475458,0.1964776343,6.124393706e-06
4.34,0.2689472864,0.1964828982,5.864989528e-06
4.36,0.2689470379,0.1964879576,5.616572645e-06
4.38,0.2689468,0.1964928203,5.378677682e-06
4.4,0.2689465722,0.1964974938,5.150858973e-06
4.42,0.2689463541,0.1965019855,4.93268973e-06
4.44,0.2689461451,0.1965063024,4.72376124e-06
4.46,0.2689459451,0.1965104513,4.523682103e-06
4.48,0.2689457534,0.1965144385,4.332077498e-06
4.5,0.26894557,0.1965182704,4.148588477e-06
4.52,0.2689453942,0.196521953,3.972871297e-06
4.54,0.268945226,0.1965254921,3.804596777e-06
4.56,0.2689450648,0.1965288931,3.643449674e-06
4.58,0.2689449105,0.1965321615,3.489128101e-06
