t,D_far_plus,D_near_0
0.0,0.9872787597304443,0.838695821464864
0.12,0.8818559335021243,0.7411612991805453
0.24,0.7818098500715421,0.6584930792137192
0.36,0.6830412332129977,0.5887987869682381
0.48,0.588764018661975,0.5300630071252932
0.6,0.5030986463276989,0.4800915420730163
0.72,0.4280863260800566,0.4366758655441325
0.84,0.3639173937996743,0.397905736258334
0.96,0.31003418160792423,0.36243596336066175
1.08,0.2656101373434291,0.32955523607790244
1.2,0.22948738686102138,0.29905664149187255
1.32,0.20017502042160268,0.27101671994390236
1.44,0.17610728372965295,0.24558686147246991
1.56,0.155951503233064,0.2228437614438104
1.68,0.13874756959615486,0.20270684340158485
1.8,0.12385138466184634,0.18492317059952734
1.92,0.11080405410253838,0.16911626147935865
2.04,0.09925104247437501,0.1548763653298598
2.16,0.0889273478971943,0.14185014510843444
2.2800000000000002,0.07965509910546074,0.12979166056661273
2.4,0.07131992320584045,0.11856449001152936
2.52,0.06383301478363934,0.10811219795417357
2.64,0.05710294216874035,0.09842160018136334
2.7600000000000002,0.05103320062584997,0.08949362659834961
2.88,0.04553902934715777,0.08132483098181668
3.0,0.040562921366663625,0.07389745608428543
3.12,0.036074845797326234,0.06717607210496902
3.24,0.03205881992989316,0.0611096258654672
3.36,0.028496528309121683,0.05563732381460142
3.48,0.02535721883772148,0.05069592016634774
3.6,0.022596644204193803,0.046225949226953604
3.72,0.02016274879215708,0.04217546217179405
3.84,0.018003944854467286,0.03850111670400853
3.96,0.016076208706098234,0.03516721349556208
4.08,0.014346838361226754,0.032143444914606085
4.2,0.012794388768270668,0.029402183191617824
4.32,0.011405360645609335,0.026916262062638308
4.44,0.010169137939943009,0.02465810596455669
4.5600000000000005,0.009073576272722367,0.02260048390763915
4.68,0.008103448273281069,0.020718335608036275
4.8,0.007242064687691941,0.01899058481655956
4.92,0.006474213705702058,0.017400983342529226
5.04,0.005788065052531033,0.015937684497654626
5.16,0.005175063287562241,0.014591945342071866
5.28,0.004628538513016815,0.013356676371869663
5.4,0.004142392389771897,0.012225398453726017
5.5200000000000005,0.0037106450169623393,0.011191750274581037
5.64,0.0033276731489643055,0.010249341137609651
5.76,0.0029884908424807214,0.009391665233581897
5.88,0.0026886450840227123,0.008611956056731615
6.0,0.002423820914909046,0.007903070709580797
